[HEADER]
Format,J&M ASCII Table
Comment,Filtration Blank 08/14/13
Date,8/16/2013 10:02:24 AM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.002
201.000,0.002
202.000,0.002
203.000,0.002
204.000,0.002
205.000,0.002
206.000,0.002
207.000,0.002
208.000,0.002
209.000,0.002
210.000,0.002
211.000,0.002
212.000,0.002
213.000,0.002
214.000,0.002
215.000,0.002
216.000,0.002
217.000,0.002
218.000,0.002
219.000,0.002
220.000,0.002
221.000,0.002
222.000,0.002
223.000,0.002
224.000,0.002
225.000,0.002
226.000,0.002
227.000,0.002
228.000,0.002
229.000,0.002
230.000,0.002
231.000,0.002
232.000,0.002
233.000,0.002
234.000,0.002
235.000,0.002
236.000,0.002
237.000,0.002
238.000,0.002
239.000,0.002
240.000,0.002
241.000,0.002
242.000,0.002
243.000,0.002
244.000,0.002
245.000,0.002
246.000,0.002
247.000,0.002
248.000,0.002
249.000,0.002
250.000,0.002
251.000,0.002
252.000,0.002
253.000,0.002
254.000,0.002
255.000,0.002
256.000,0.002
257.000,0.002
258.000,0.002
259.000,0.002
260.000,0.002
261.000,0.002
262.000,0.002
263.000,0.002
264.000,0.002
265.000,0.002
266.000,0.002
267.000,0.002
268.000,0.002
269.000,0.002
270.000,0.002
271.000,0.002
272.000,0.002
273.000,0.002
274.000,0.002
275.000,0.002
276.000,0.002
277.000,0.002
278.000,0.002
279.000,0.002
280.000,0.002
281.000,0.002
282.000,0.002
283.000,0.002
284.000,0.002
285.000,0.002
286.000,0.002
287.000,0.002
288.000,0.002
289.000,0.002
290.000,0.002
291.000,0.002
292.000,0.002
293.000,0.002
294.000,0.002
295.000,0.002
296.000,0.002
297.000,0.002
298.000,0.002
299.000,0.002
300.000,0.002
301.000,0.002
302.000,0.002
303.000,0.002
304.000,0.002
305.000,0.002
306.000,0.002
307.000,0.002
308.000,0.002
309.000,0.002
310.000,0.002
311.000,0.002
312.000,0.002
313.000,0.002
314.000,0.002
315.000,0.002
316.000,0.002
317.000,0.002
318.000,0.002
319.000,0.002
320.000,0.002
321.000,0.002
322.000,0.002
323.000,0.002
