[HEADER]
Format,J&M ASCII Table
Comment,Ocean water
Date,5/8/2013 1:19:21 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.808
201.000,0.810
202.000,0.805
203.000,0.795
204.000,0.784
205.000,0.772
206.000,0.760
207.000,0.747
208.000,0.729
209.000,0.703
210.000,0.668
211.000,0.621
212.000,0.566
213.000,0.507
214.000,0.448
215.000,0.391
216.000,0.339
217.000,0.293
218.000,0.252
219.000,0.217
220.000,0.186
221.000,0.159
222.000,0.136
223.000,0.116
224.000,0.100
225.000,0.087
226.000,0.076
227.000,0.067
228.000,0.059
229.000,0.053
230.000,0.048
231.000,0.044
232.000,0.041
233.000,0.038
234.000,0.036
235.000,0.034
236.000,0.033
237.000,0.031
238.000,0.030
239.000,0.029
240.000,0.028
241.000,0.028
242.000,0.027
243.000,0.026
244.000,0.026
245.000,0.025
246.000,0.025
247.000,0.024
248.000,0.024
249.000,0.024
250.000,0.023
251.000,0.023
252.000,0.023
253.000,0.023
254.000,0.022
255.000,0.022
256.000,0.022
257.000,0.022
258.000,0.022
259.000,0.021
260.000,0.021
261.000,0.021
262.000,0.021
263.000,0.021
264.000,0.021
265.000,0.021
266.000,0.021
267.000,0.020
268.000,0.020
269.000,0.020
270.000,0.020
271.000,0.020
272.000,0.020
273.000,0.019
274.000,0.019
275.000,0.019
276.000,0.019
277.000,0.019
278.000,0.019
279.000,0.018
280.000,0.018
281.000,0.018
282.000,0.018
283.000,0.018
284.000,0.018
285.000,0.018
286.000,0.017
287.000,0.017
288.000,0.017
289.000,0.017
290.000,0.017
291.000,0.017
292.000,0.017
293.000,0.017
294.000,0.016
295.000,0.016
296.000,0.016
297.000,0.016
298.000,0.016
299.000,0.016
300.000,0.016
301.000,0.016
302.000,0.016
303.000,0.016
304.000,0.015
305.000,0.015
306.000,0.015
307.000,0.015
308.000,0.015
309.000,0.015
310.000,0.015
311.000,0.015
312.000,0.015
313.000,0.015
314.000,0.014
315.000,0.014
316.000,0.014
317.000,0.014
318.000,0.014
319.000,0.014
320.000,0.014
321.000,0.014
322.000,0.014
323.000,0.014
324.000,0.013
325.000,0.013
326.000,0.013
327.000,0.013
328.000,0.013
329.000,0.013
330.000,0.013
331.000,0.013
332.000,0.013
333.000,0.013
334.000,0.013
335.000,0.013
336.000,0.012
337.000,0.012
338.000,0.012
339.000,0.012
340.000,0.012
341.000,0.012
342.000,0.012
343.000,0.012
344.000,0.012
345.000,0.012
346.000,0.011
347.000,0.011
348.000,0.011
349.000,0.011
350.000,0.011
351.000,0.011
352.000,0.011
353.000,0.011
354.000,0.011
355.000,0.011
356.000,0.010
357.000,0.010
358.000,0.010
359.000,0.010
360.000,0.010
361.000,0.010
362.000,0.010
363.000,0.010
364.000,0.009
365.000,0.009
366.000,0.009
367.000,0.009
368.000,0.009
369.000,0.009
370.000,0.009
371.000,0.009
372.000,0.009
373.000,0.009
374.000,0.008
375.000,0.008
376.000,0.008
377.000,0.008
378.000,0.008
379.000,0.008
380.000,0.008
381.000,0.008
382.000,0.008
383.000,0.008
384.000,0.008
385.000,0.008
386.000,0.008
387.000,0.007
388.000,0.007
389.000,0.007
390.000,0.007
391.000,0.007
392.000,0.007
393.000,0.007
394.000,0.007
395.000,0.007
396.000,0.007
397.000,0.007
398.000,0.007
399.000,0.007
400.000,0.007
401.000,0.007
402.000,0.006
403.000,0.006
404.000,0.006
405.000,0.006
406.000,0.006
407.000,0.006
408.000,0.005
409.000,0.005
410.000,0.005
411.000,0.005
412.000,0.005
413.000,0.005
414.000,0.005
415.000,0.004
416.000,0.004
417.000,0.004
418.000,0.004
419.000,0.004
420.000,0.004
421.000,0.004
422.000,0.004
423.000,0.004
424.000,0.004
425.000,0.004
426.000,0.004
427.000,0.003
428.000,0.003
429.000,0.003
430.000,0.003
431.000,0.003
432.000,0.003
433.000,0.003
434.000,0.003
435.000,0.003
436.000,0.003
437.000,0.003
438.000,0.003
439.000,0.003
440.000,0.003
441.000,0.003
442.000,0.003
443.000,0.002
444.000,0.002
445.000,0.002
446.000,0.002
447.000,0.002
448.000,0.002
449.000,0.002
450.000,0.002
451.000,0.002
452.000,0.002
453.000,0.002
454.000,0.002
455.000,0.002
456.000,0.002
457.000,0.002
458.000,0.002
459.000,0.002
460.000,0.001
461.000,0.001
462.000,0.001
463.000,0.001
464.000,0.001
465.000,0.001
466.000,0.001
467.000,0.001
468.000,0.001
469.000,0.001
470.000,0.001
471.000,0.001
472.000,0.001
473.000,0.001
474.000,0.001
475.000,0.001
476.000,0.001
477.000,0.001
478.000,0.001
479.000,0.001
480.000,0.001
481.000,0.001
482.000,0.001
483.000,0.001
484.000,0.001
485.000,0.001
486.000,0.001
487.000,0.001
488.000,0.001
489.000,0.001
490.000,0.001
491.000,0.001
492.000,0.001
493.000,0.000
494.000,0.000
495.000,0.000
496.000,0.000
497.000,0.000
498.000,0.000
499.000,0.000
500.000,0.000
501.000,0.000
502.000,0.000
503.000,0.000
504.000,0.000
505.000,0.000
506.000,0.000
507.000,0.000
508.000,0.000
509.000,0.000
510.000,0.000
511.000,0.000
512.000,0.000
513.000,0.000
514.000,0.000
515.000,0.000
516.000,-0.000
517.000,-0.000
518.000,-0.000
519.000,-0.000
520.000,-0.000
521.000,-0.000
522.000,-0.000
523.000,-0.000
524.000,-0.000
525.000,-0.000
526.000,-0.000
527.000,-0.000
528.000,-0.000
529.000,-0.000
530.000,-0.000
531.000,-0.000
532.000,-0.000
533.000,-0.000
534.000,-0.000
535.000,-0.000
536.000,-0.000
537.000,-0.000
538.000,-0.000
539.000,-0.000
540.000,-0.000
541.000,-0.000
542.000,-0.000
543.000,-0.000
544.000,-0.000
545.000,-0.000
546.000,-0.000
547.000,-0.000
548.000,-0.000
549.000,-0.001
550.000,-0.001
551.000,-0.001
552.000,-0.001
553.000,-0.001
554.000,-0.001
555.000,-0.001
556.000,-0.001
557.000,-0.001
558.000,-0.001
559.000,-0.001
560.000,-0.001
561.000,-0.001
562.000,-0.001
563.000,-0.001
564.000,-0.001
565.000,-0.000
566.000,-0.000
567.000,-0.000
568.000,-0.000
569.000,-0.000
570.000,-0.000
571.000,-0.000
572.000,-0.000
573.000,0.000
574.000,0.000
575.000,0.000
576.000,0.000
577.000,0.000
578.000,0.000
579.000,0.000
580.000,0.000
581.000,0.000
582.000,0.000
583.000,0.000
584.000,0.000
585.000,0.000
586.000,-0.000
587.000,-0.000
588.000,-0.000
589.000,-0.000
590.000,-0.000
591.000,-0.000
592.000,-0.000
593.000,-0.000
594.000,-0.000
595.000,-0.000
596.000,-0.000
597.000,-0.000
598.000,-0.000
599.000,-0.000
600.000,-0.000
601.000,-0.001
602.000,-0.001
603.000,-0.001
604.000,-0.001
605.000,-0.001
606.000,-0.001
607.000,-0.001
608.000,-0.001
609.000,-0.001
610.000,-0.001
611.000,-0.001
612.000,-0.001
613.000,-0.001
614.000,-0.001
615.000,-0.001
616.000,-0.001
617.000,-0.001
618.000,-0.001
619.000,-0.001
620.000,-0.001
621.000,-0.001
622.000,-0.001
623.000,-0.001
624.000,-0.001
625.000,-0.001
626.000,-0.001
627.000,-0.001
628.000,-0.001
629.000,-0.001
630.000,-0.001
631.000,-0.001
632.000,-0.001
633.000,-0.001
634.000,-0.001
635.000,-0.001
636.000,-0.001
637.000,-0.001
638.000,-0.001
639.000,-0.001
640.000,-0.001
641.000,-0.001
642.000,-0.001
643.000,-0.001
644.000,-0.001
645.000,-0.001
646.000,-0.001
647.000,-0.001
648.000,-0.001
649.000,-0.001
650.000,-0.001
651.000,-0.001
652.000,-0.001
653.000,-0.000
654.000,-0.000
655.000,-0.000
656.000,-0.000
657.000,-0.000
658.000,-0.000
659.000,-0.001
660.000,-0.001
661.000,-0.001
662.000,-0.001
663.000,-0.001
664.000,-0.001
665.000,-0.001
666.000,-0.001
667.000,-0.001
668.000,-0.001
669.000,-0.001
670.000,-0.001
671.000,-0.001
672.000,-0.001
673.000,-0.001
674.000,-0.001
675.000,-0.001
676.000,-0.001
677.000,-0.001
678.000,-0.001
679.000,-0.001
680.000,-0.001
681.000,-0.001
682.000,-0.001
683.000,-0.001
684.000,-0.001
685.000,-0.001
686.000,-0.001
687.000,-0.001
688.000,-0.001
689.000,-0.001
690.000,-0.001
691.000,-0.001
692.000,-0.001
693.000,-0.001
694.000,-0.001
695.000,-0.001
696.000,-0.001
697.000,-0.001
698.000,-0.001
699.000,-0.001
700.000,-0.001
701.000,-0.001
702.000,-0.001
703.000,-0.001
704.000,-0.001
705.000,-0.001
706.000,-0.001
707.000,-0.001
708.000,-0.001
709.000,-0.001
710.000,-0.001
711.000,-0.001
712.000,-0.001
713.000,-0.001
714.000,-0.001
715.000,-0.001
716.000,-0.001
717.000,-0.001
718.000,-0.001
719.000,-0.001
720.000,-0.002
721.000,-0.002
722.000,-0.002
723.000,-0.002
