[HEADER]
Format,J&M ASCII Table
Comment,SAT08-04/10-SUR1
Date,4/11/2013 11:55:16 AM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.273
201.000,0.267
202.000,0.260
203.000,0.253
204.000,0.245
205.000,0.237
206.000,0.230
207.000,0.223
208.000,0.216
209.000,0.209
210.000,0.203
211.000,0.196
212.000,0.189
213.000,0.182
214.000,0.175
215.000,0.168
216.000,0.161
217.000,0.153
218.000,0.146
219.000,0.138
220.000,0.130
221.000,0.122
222.000,0.115
223.000,0.107
224.000,0.100
225.000,0.094
226.000,0.088
227.000,0.083
228.000,0.078
229.000,0.073
230.000,0.070
231.000,0.066
232.000,0.064
233.000,0.061
234.000,0.059
235.000,0.057
236.000,0.056
237.000,0.054
238.000,0.053
239.000,0.052
240.000,0.051
241.000,0.050
242.000,0.049
243.000,0.048
244.000,0.047
245.000,0.046
246.000,0.046
247.000,0.045
248.000,0.044
249.000,0.044
250.000,0.043
251.000,0.043
252.000,0.042
253.000,0.042
254.000,0.041
255.000,0.041
256.000,0.041
257.000,0.040
258.000,0.040
259.000,0.039
260.000,0.039
261.000,0.039
262.000,0.038
263.000,0.038
264.000,0.038
265.000,0.037
266.000,0.037
267.000,0.036
268.000,0.036
269.000,0.035
270.000,0.035
271.000,0.035
272.000,0.034
273.000,0.034
274.000,0.033
275.000,0.033
276.000,0.032
277.000,0.031
278.000,0.031
279.000,0.030
280.000,0.030
281.000,0.029
282.000,0.029
283.000,0.028
284.000,0.028
285.000,0.027
286.000,0.027
287.000,0.026
288.000,0.026
289.000,0.025
290.000,0.025
291.000,0.024
292.000,0.024
293.000,0.023
294.000,0.023
295.000,0.022
296.000,0.022
297.000,0.021
298.000,0.021
299.000,0.021
300.000,0.020
301.000,0.020
302.000,0.019
303.000,0.019
304.000,0.019
305.000,0.018
306.000,0.018
307.000,0.018
308.000,0.017
309.000,0.017
310.000,0.017
311.000,0.016
312.000,0.016
313.000,0.016
314.000,0.015
315.000,0.015
316.000,0.015
317.000,0.015
318.000,0.014
319.000,0.014
320.000,0.014
321.000,0.014
322.000,0.013
323.000,0.013
324.000,0.013
325.000,0.012
326.000,0.012
327.000,0.012
328.000,0.012
329.000,0.012
330.000,0.011
331.000,0.011
332.000,0.011
333.000,0.011
334.000,0.010
335.000,0.010
336.000,0.010
337.000,0.010
338.000,0.010
339.000,0.010
340.000,0.009
341.000,0.009
342.000,0.009
343.000,0.009
344.000,0.009
345.000,0.009
346.000,0.008
347.000,0.008
348.000,0.008
349.000,0.008
350.000,0.008
351.000,0.008
352.000,0.008
353.000,0.007
354.000,0.007
355.000,0.007
356.000,0.007
357.000,0.007
358.000,0.007
359.000,0.007
360.000,0.007
361.000,0.007
362.000,0.006
363.000,0.006
364.000,0.006
365.000,0.006
366.000,0.006
367.000,0.006
368.000,0.006
369.000,0.006
370.000,0.006
371.000,0.005
372.000,0.005
373.000,0.005
374.000,0.005
375.000,0.005
376.000,0.005
377.000,0.005
378.000,0.005
379.000,0.005
380.000,0.005
381.000,0.005
382.000,0.005
383.000,0.005
384.000,0.005
385.000,0.005
386.000,0.005
387.000,0.005
388.000,0.004
389.000,0.004
390.000,0.004
391.000,0.004
392.000,0.004
393.000,0.004
394.000,0.004
395.000,0.004
396.000,0.004
397.000,0.004
398.000,0.004
399.000,0.004
400.000,0.004
401.000,0.004
402.000,0.004
403.000,0.003
404.000,0.003
405.000,0.003
406.000,0.003
407.000,0.003
408.000,0.003
409.000,0.003
410.000,0.003
411.000,0.003
412.000,0.003
413.000,0.003
414.000,0.003
415.000,0.003
416.000,0.003
417.000,0.002
418.000,0.002
419.000,0.002
420.000,0.002
421.000,0.002
422.000,0.002
423.000,0.002
424.000,0.002
425.000,0.002
426.000,0.002
427.000,0.002
428.000,0.002
429.000,0.002
430.000,0.002
431.000,0.002
432.000,0.002
433.000,0.002
434.000,0.002
435.000,0.002
436.000,0.002
437.000,0.002
438.000,0.002
439.000,0.001
440.000,0.001
441.000,0.001
442.000,0.001
443.000,0.001
444.000,0.001
445.000,0.001
446.000,0.001
447.000,0.001
448.000,0.001
449.000,0.001
450.000,0.001
451.000,0.001
452.000,0.001
453.000,0.001
454.000,0.001
455.000,0.001
456.000,0.001
457.000,0.001
458.000,0.001
459.000,0.001
460.000,0.001
461.000,0.001
462.000,0.001
463.000,0.001
464.000,0.001
465.000,0.001
466.000,0.001
467.000,0.001
468.000,0.001
469.000,0.001
470.000,0.001
471.000,0.001
472.000,0.001
473.000,0.001
474.000,0.001
475.000,0.001
476.000,0.001
477.000,0.001
478.000,0.001
479.000,0.001
480.000,0.001
481.000,0.001
482.000,0.001
483.000,0.000
484.000,0.000
485.000,0.000
486.000,0.000
487.000,0.000
488.000,0.000
489.000,0.000
490.000,0.000
491.000,0.000
492.000,0.000
493.000,0.000
494.000,0.000
495.000,0.000
496.000,0.000
497.000,0.000
498.000,0.000
499.000,0.000
500.000,0.000
501.000,0.000
502.000,0.000
503.000,0.000
504.000,0.000
505.000,0.000
506.000,0.000
507.000,0.000
508.000,0.000
509.000,0.000
510.000,0.000
511.000,0.000
512.000,0.000
513.000,0.000
514.000,0.000
515.000,0.000
516.000,0.000
517.000,0.000
518.000,0.000
519.000,0.000
520.000,0.000
521.000,0.000
522.000,0.000
523.000,0.000
524.000,0.000
525.000,0.000
526.000,0.000
527.000,0.000
528.000,0.000
529.000,0.000
530.000,0.000
531.000,0.000
532.000,0.000
533.000,0.000
534.000,0.000
535.000,0.000
536.000,0.000
537.000,0.000
538.000,0.000
539.000,-0.000
540.000,-0.000
541.000,-0.000
542.000,-0.000
543.000,-0.000
544.000,-0.000
545.000,-0.000
546.000,-0.000
547.000,-0.000
548.000,-0.000
549.000,-0.000
550.000,-0.000
551.000,-0.000
552.000,-0.000
553.000,-0.000
554.000,-0.000
555.000,-0.000
556.000,-0.000
557.000,-0.000
558.000,-0.000
559.000,-0.000
560.000,-0.000
561.000,-0.000
562.000,-0.000
563.000,-0.000
564.000,-0.000
565.000,-0.000
566.000,-0.000
567.000,-0.000
568.000,-0.000
569.000,-0.000
570.000,-0.000
571.000,-0.000
572.000,-0.000
573.000,-0.000
574.000,-0.000
575.000,-0.000
576.000,-0.000
577.000,-0.000
578.000,-0.000
579.000,-0.000
580.000,-0.000
581.000,-0.000
582.000,-0.000
583.000,-0.000
584.000,-0.000
585.000,-0.000
586.000,-0.000
587.000,-0.000
588.000,-0.000
589.000,-0.000
590.000,-0.000
591.000,-0.000
592.000,-0.000
593.000,-0.000
594.000,-0.000
595.000,-0.000
596.000,-0.000
597.000,-0.000
598.000,-0.000
599.000,-0.000
600.000,-0.000
601.000,-0.000
602.000,-0.000
603.000,-0.000
604.000,-0.000
605.000,-0.000
606.000,-0.000
607.000,-0.000
608.000,-0.000
609.000,-0.001
610.000,-0.000
611.000,-0.000
612.000,-0.000
613.000,-0.000
614.000,-0.001
615.000,-0.001
616.000,-0.001
617.000,-0.001
618.000,-0.001
619.000,-0.001
620.000,-0.001
621.000,-0.001
622.000,-0.001
623.000,-0.001
624.000,-0.001
625.000,-0.001
626.000,-0.001
627.000,-0.001
628.000,-0.001
629.000,-0.001
630.000,-0.001
631.000,-0.001
632.000,-0.001
633.000,-0.001
634.000,-0.001
635.000,-0.001
636.000,-0.001
637.000,-0.001
638.000,-0.001
639.000,-0.001
640.000,-0.001
641.000,-0.001
642.000,-0.001
643.000,-0.001
644.000,-0.001
645.000,-0.001
646.000,-0.001
647.000,-0.001
648.000,-0.001
649.000,-0.001
650.000,-0.001
651.000,-0.001
652.000,-0.001
653.000,-0.001
654.000,-0.001
655.000,-0.001
656.000,-0.001
657.000,-0.001
658.000,-0.001
659.000,-0.001
660.000,-0.001
661.000,-0.001
662.000,-0.001
663.000,-0.001
664.000,-0.001
665.000,-0.001
666.000,-0.001
667.000,-0.001
668.000,-0.001
669.000,-0.001
670.000,-0.001
671.000,-0.001
672.000,-0.001
673.000,-0.001
674.000,-0.001
675.000,-0.001
676.000,-0.001
677.000,-0.001
678.000,-0.001
679.000,-0.001
680.000,-0.001
681.000,-0.001
682.000,-0.001
683.000,-0.001
684.000,-0.001
685.000,-0.001
686.000,-0.001
687.000,-0.001
688.000,-0.001
689.000,-0.001
690.000,-0.001
691.000,-0.001
692.000,-0.001
693.000,-0.001
694.000,-0.001
695.000,-0.001
696.000,-0.001
697.000,-0.001
698.000,-0.001
699.000,-0.001
700.000,-0.001
701.000,-0.001
702.000,-0.001
703.000,-0.001
704.000,-0.001
705.000,-0.001
706.000,-0.001
707.000,-0.001
708.000,-0.001
709.000,-0.001
710.000,-0.001
711.000,-0.001
712.000,-0.001
713.000,-0.001
714.000,-0.001
715.000,-0.001
716.000,-0.001
717.000,-0.001
718.000,-0.001
719.000,-0.001
720.000,-0.001
721.000,-0.001
722.000,-0.001
723.000,-0.001
