[HEADER]
Format,J&M ASCII Table
Comment,SAT08-05/07-SUR 2:10 PM
Date,5/8/2013 1:37:22 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.200
201.000,0.194
202.000,0.189
203.000,0.183
204.000,0.177
205.000,0.171
206.000,0.166
207.000,0.161
208.000,0.156
209.000,0.152
210.000,0.148
211.000,0.144
212.000,0.140
213.000,0.136
214.000,0.133
215.000,0.129
216.000,0.124
217.000,0.120
218.000,0.116
219.000,0.111
220.000,0.107
221.000,0.103
222.000,0.098
223.000,0.094
224.000,0.090
225.000,0.086
226.000,0.082
227.000,0.079
228.000,0.077
229.000,0.074
230.000,0.072
231.000,0.070
232.000,0.068
233.000,0.066
234.000,0.065
235.000,0.064
236.000,0.063
237.000,0.062
238.000,0.061
239.000,0.060
240.000,0.059
241.000,0.058
242.000,0.058
243.000,0.057
244.000,0.056
245.000,0.055
246.000,0.055
247.000,0.054
248.000,0.053
249.000,0.053
250.000,0.052
251.000,0.052
252.000,0.051
253.000,0.051
254.000,0.050
255.000,0.050
256.000,0.050
257.000,0.049
258.000,0.049
259.000,0.049
260.000,0.048
261.000,0.048
262.000,0.048
263.000,0.047
264.000,0.047
265.000,0.046
266.000,0.046
267.000,0.045
268.000,0.045
269.000,0.045
270.000,0.044
271.000,0.044
272.000,0.043
273.000,0.042
274.000,0.042
275.000,0.041
276.000,0.041
277.000,0.040
278.000,0.039
279.000,0.039
280.000,0.038
281.000,0.038
282.000,0.037
283.000,0.037
284.000,0.036
285.000,0.036
286.000,0.035
287.000,0.034
288.000,0.034
289.000,0.033
290.000,0.033
291.000,0.032
292.000,0.032
293.000,0.031
294.000,0.031
295.000,0.030
296.000,0.030
297.000,0.029
298.000,0.028
299.000,0.028
300.000,0.028
301.000,0.027
302.000,0.027
303.000,0.026
304.000,0.026
305.000,0.025
306.000,0.025
307.000,0.025
308.000,0.024
309.000,0.024
310.000,0.023
311.000,0.023
312.000,0.022
313.000,0.022
314.000,0.022
315.000,0.021
316.000,0.021
317.000,0.021
318.000,0.020
319.000,0.020
320.000,0.020
321.000,0.019
322.000,0.019
323.000,0.019
324.000,0.018
325.000,0.018
326.000,0.018
327.000,0.017
328.000,0.017
329.000,0.017
330.000,0.016
331.000,0.016
332.000,0.016
333.000,0.016
334.000,0.015
335.000,0.015
336.000,0.015
337.000,0.014
338.000,0.014
339.000,0.014
340.000,0.014
341.000,0.013
342.000,0.013
343.000,0.013
344.000,0.013
345.000,0.012
346.000,0.012
347.000,0.012
348.000,0.012
349.000,0.011
350.000,0.011
351.000,0.011
352.000,0.011
353.000,0.010
354.000,0.010
355.000,0.010
356.000,0.010
357.000,0.009
358.000,0.009
359.000,0.009
360.000,0.009
361.000,0.008
362.000,0.008
363.000,0.008
364.000,0.008
365.000,0.007
366.000,0.007
367.000,0.007
368.000,0.007
369.000,0.006
370.000,0.006
371.000,0.006
372.000,0.006
373.000,0.006
374.000,0.006
375.000,0.005
376.000,0.005
377.000,0.005
378.000,0.005
379.000,0.005
380.000,0.005
381.000,0.005
382.000,0.004
383.000,0.004
384.000,0.004
385.000,0.004
386.000,0.004
387.000,0.004
388.000,0.003
389.000,0.003
390.000,0.003
391.000,0.003
