[HEADER]
Format,J&M ASCII Table
Comment,
Date,7/26/2013 5:11:20 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.699
201.000,0.669
202.000,0.627
203.000,0.575
204.000,0.520
205.000,0.464
206.000,0.411
207.000,0.362
208.000,0.318
209.000,0.279
210.000,0.246
211.000,0.217
212.000,0.193
213.000,0.172
214.000,0.155
215.000,0.140
216.000,0.128
217.000,0.118
218.000,0.109
219.000,0.101
220.000,0.094
221.000,0.088
222.000,0.083
223.000,0.078
224.000,0.074
225.000,0.070
226.000,0.067
227.000,0.064
228.000,0.062
229.000,0.059
230.000,0.058
231.000,0.056
232.000,0.055
233.000,0.053
234.000,0.052
235.000,0.052
236.000,0.051
237.000,0.050
238.000,0.049
239.000,0.049
240.000,0.048
241.000,0.048
242.000,0.047
243.000,0.047
244.000,0.046
245.000,0.045
246.000,0.045
247.000,0.045
248.000,0.044
249.000,0.044
250.000,0.043
251.000,0.043
252.000,0.043
253.000,0.042
254.000,0.042
255.000,0.042
256.000,0.042
257.000,0.041
258.000,0.041
259.000,0.041
260.000,0.041
261.000,0.040
262.000,0.040
263.000,0.040
264.000,0.040
265.000,0.039
266.000,0.039
267.000,0.039
268.000,0.038
269.000,0.038
270.000,0.037
271.000,0.037
272.000,0.036
273.000,0.036
274.000,0.036
275.000,0.035
276.000,0.035
277.000,0.034
278.000,0.033
279.000,0.033
280.000,0.033
281.000,0.032
282.000,0.032
283.000,0.031
284.000,0.031
285.000,0.030
286.000,0.030
287.000,0.029
288.000,0.029
289.000,0.028
290.000,0.028
291.000,0.027
292.000,0.027
293.000,0.026
294.000,0.026
295.000,0.025
296.000,0.025
297.000,0.024
298.000,0.024
299.000,0.023
300.000,0.023
301.000,0.023
302.000,0.022
303.000,0.022
304.000,0.022
305.000,0.021
306.000,0.021
307.000,0.021
308.000,0.020
309.000,0.020
310.000,0.020
311.000,0.019
312.000,0.019
313.000,0.019
314.000,0.018
315.000,0.018
316.000,0.018
317.000,0.018
318.000,0.017
319.000,0.017
320.000,0.017
321.000,0.016
322.000,0.016
323.000,0.016
324.000,0.016
325.000,0.015
326.000,0.015
327.000,0.015
328.000,0.015
329.000,0.014
330.000,0.014
331.000,0.014
332.000,0.014
333.000,0.014
334.000,0.013
335.000,0.013
336.000,0.013
337.000,0.013
338.000,0.013
339.000,0.012
340.000,0.012
341.000,0.012
342.000,0.012
343.000,0.012
344.000,0.011
345.000,0.011
346.000,0.011
347.000,0.011
348.000,0.011
349.000,0.011
350.000,0.011
351.000,0.010
352.000,0.010
353.000,0.010
354.000,0.010
355.000,0.010
356.000,0.010
357.000,0.010
358.000,0.010
359.000,0.009
360.000,0.009
361.000,0.009
362.000,0.009
363.000,0.009
364.000,0.009
365.000,0.009
366.000,0.009
367.000,0.009
368.000,0.008
369.000,0.008
370.000,0.008
371.000,0.008
372.000,0.008
373.000,0.008
374.000,0.008
375.000,0.008
376.000,0.008
377.000,0.008
378.000,0.008
379.000,0.008
380.000,0.008
381.000,0.008
382.000,0.008
383.000,0.008
384.000,0.008
385.000,0.008
386.000,0.008
387.000,0.008
388.000,0.008
389.000,0.008
390.000,0.008
391.000,0.008
392.000,0.008
393.000,0.008
394.000,0.008
395.000,0.008
396.000,0.008
397.000,0.008
398.000,0.008
399.000,0.008
400.000,0.008
401.000,0.008
402.000,0.007
403.000,0.007
404.000,0.007
405.000,0.007
406.000,0.007
407.000,0.007
408.000,0.007
409.000,0.007
410.000,0.007
411.000,0.007
412.000,0.007
413.000,0.006
414.000,0.006
415.000,0.006
416.000,0.006
417.000,0.006
418.000,0.006
419.000,0.006
420.000,0.006
421.000,0.006
422.000,0.006
423.000,0.006
424.000,0.006
425.000,0.006
426.000,0.006
427.000,0.006
428.000,0.006
429.000,0.005
430.000,0.005
431.000,0.005
432.000,0.005
433.000,0.005
434.000,0.005
435.000,0.005
436.000,0.005
437.000,0.005
438.000,0.005
439.000,0.005
440.000,0.005
441.000,0.005
442.000,0.005
443.000,0.005
444.000,0.005
445.000,0.005
446.000,0.005
447.000,0.005
448.000,0.005
449.000,0.005
450.000,0.005
451.000,0.005
452.000,0.005
453.000,0.005
454.000,0.005
455.000,0.005
456.000,0.004
457.000,0.004
458.000,0.004
459.000,0.004
460.000,0.004
461.000,0.004
462.000,0.004
463.000,0.004
464.000,0.004
465.000,0.004
466.000,0.004
467.000,0.004
468.000,0.004
469.000,0.004
470.000,0.004
471.000,0.004
472.000,0.004
473.000,0.004
474.000,0.004
475.000,0.004
476.000,0.004
477.000,0.004
478.000,0.004
479.000,0.004
480.000,0.004
481.000,0.004
482.000,0.004
483.000,0.004
484.000,0.004
485.000,0.004
486.000,0.004
487.000,0.004
488.000,0.004
489.000,0.004
490.000,0.004
491.000,0.004
492.000,0.004
493.000,0.004
494.000,0.004
495.000,0.004
496.000,0.004
497.000,0.003
498.000,0.003
499.000,0.003
500.000,0.003
501.000,0.003
502.000,0.003
503.000,0.003
504.000,0.003
505.000,0.003
506.000,0.003
507.000,0.003
508.000,0.003
509.000,0.003
510.000,0.003
511.000,0.003
512.000,0.003
513.000,0.003
514.000,0.003
515.000,0.003
516.000,0.003
517.000,0.003
518.000,0.003
519.000,0.003
520.000,0.003
521.000,0.003
522.000,0.003
523.000,0.003
524.000,0.003
525.000,0.003
526.000,0.003
527.000,0.003
528.000,0.003
529.000,0.003
530.000,0.003
531.000,0.003
532.000,0.003
533.000,0.003
534.000,0.003
535.000,0.003
536.000,0.003
537.000,0.003
538.000,0.002
539.000,0.002
540.000,0.002
541.000,0.002
542.000,0.002
543.000,0.002
544.000,0.002
545.000,0.002
546.000,0.002
547.000,0.002
548.000,0.002
549.000,0.002
550.000,0.002
551.000,0.002
552.000,0.002
553.000,0.002
554.000,0.002
555.000,0.002
556.000,0.002
557.000,0.002
558.000,0.002
559.000,0.002
560.000,0.002
561.000,0.002
562.000,0.002
563.000,0.002
564.000,0.002
565.000,0.002
566.000,0.002
567.000,0.002
568.000,0.002
569.000,0.002
570.000,0.002
571.000,0.002
572.000,0.002
573.000,0.002
574.000,0.002
575.000,0.002
576.000,0.002
577.000,0.002
578.000,0.002
579.000,0.002
580.000,0.002
581.000,0.002
582.000,0.002
583.000,0.002
584.000,0.002
585.000,0.002
586.000,0.002
587.000,0.002
588.000,0.002
589.000,0.002
590.000,0.002
591.000,0.002
592.000,0.002
593.000,0.002
594.000,0.002
595.000,0.002
596.000,0.001
597.000,0.001
598.000,0.001
599.000,0.001
600.000,0.001
601.000,0.001
602.000,0.001
603.000,0.001
604.000,0.001
605.000,0.001
606.000,0.001
607.000,0.001
608.000,0.001
609.000,0.001
610.000,0.001
611.000,0.001
612.000,0.001
613.000,0.001
614.000,0.001
615.000,0.001
616.000,0.001
617.000,0.001
618.000,0.001
619.000,0.001
620.000,0.001
621.000,0.001
622.000,0.001
623.000,0.001
624.000,0.001
625.000,0.001
626.000,0.001
627.000,0.001
628.000,0.001
629.000,0.001
630.000,0.001
631.000,0.001
632.000,0.001
633.000,0.001
634.000,0.001
635.000,0.001
636.000,0.001
637.000,0.001
638.000,0.001
639.000,0.001
640.000,0.001
641.000,0.001
642.000,0.001
643.000,0.001
644.000,0.001
645.000,0.001
646.000,0.001
647.000,0.001
648.000,0.001
649.000,0.001
650.000,0.001
651.000,0.001
652.000,0.001
653.000,0.001
654.000,0.001
655.000,0.001
656.000,0.001
657.000,0.001
658.000,0.001
659.000,0.001
660.000,0.001
661.000,0.001
662.000,0.001
663.000,0.001
664.000,0.001
665.000,0.001
666.000,0.001
667.000,0.001
668.000,0.001
669.000,0.001
670.000,0.001
671.000,0.001
672.000,0.001
673.000,0.001
674.000,0.001
675.000,0.001
676.000,0.001
677.000,0.000
678.000,0.000
679.000,0.000
680.000,0.000
681.000,0.000
682.000,0.000
683.000,0.000
684.000,0.000
685.000,0.000
686.000,0.000
687.000,0.000
688.000,0.000
689.000,0.000
690.000,0.000
691.000,0.000
692.000,0.000
693.000,0.000
694.000,0.000
695.000,0.000
696.000,0.000
697.000,0.000
698.000,0.000
699.000,0.000
700.000,0.000
701.000,0.000
702.000,0.000
703.000,0.000
704.000,0.000
705.000,0.000
706.000,0.000
707.000,0.000
708.000,0.000
709.000,0.000
710.000,0.000
711.000,0.000
712.000,0.000
713.000,0.000
714.000,0.000
715.000,0.000
716.000,0.000
717.000,0.000
718.000,0.000
719.000,0.000
720.000,0.000
721.000,-0.000
722.000,-0.000
723.000,-0.000
