[HEADER]
Format,J&M ASCII Table
Comment,SC05 Surface
Date,6/21/2013 4:31:24 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.535
201.000,0.493
202.000,0.448
203.000,0.402
204.000,0.357
205.000,0.317
206.000,0.282
207.000,0.251
208.000,0.225
209.000,0.203
210.000,0.186
211.000,0.171
212.000,0.159
213.000,0.149
214.000,0.140
215.000,0.133
216.000,0.127
217.000,0.122
218.000,0.118
219.000,0.114
220.000,0.111
221.000,0.108
222.000,0.106
223.000,0.103
224.000,0.101
225.000,0.100
226.000,0.098
227.000,0.097
228.000,0.096
229.000,0.095
230.000,0.094
231.000,0.092
232.000,0.091
233.000,0.090
234.000,0.089
235.000,0.088
236.000,0.087
237.000,0.087
238.000,0.086
239.000,0.085
240.000,0.085
241.000,0.084
242.000,0.083
243.000,0.083
244.000,0.082
245.000,0.081
246.000,0.081
247.000,0.080
248.000,0.080
249.000,0.079
250.000,0.079
251.000,0.078
252.000,0.078
253.000,0.078
254.000,0.077
255.000,0.077
256.000,0.077
257.000,0.076
258.000,0.076
259.000,0.076
260.000,0.075
261.000,0.075
262.000,0.075
263.000,0.074
264.000,0.074
265.000,0.073
266.000,0.073
267.000,0.072
268.000,0.072
269.000,0.071
270.000,0.071
271.000,0.070
272.000,0.069
273.000,0.068
274.000,0.068
275.000,0.067
276.000,0.066
277.000,0.066
278.000,0.065
279.000,0.065
280.000,0.064
281.000,0.063
282.000,0.063
283.000,0.062
284.000,0.062
285.000,0.061
286.000,0.061
287.000,0.060
288.000,0.059
289.000,0.059
290.000,0.058
291.000,0.058
292.000,0.057
293.000,0.056
294.000,0.056
295.000,0.055
296.000,0.055
297.000,0.054
298.000,0.054
299.000,0.053
300.000,0.053
301.000,0.052
302.000,0.051
303.000,0.051
304.000,0.050
305.000,0.050
306.000,0.049
307.000,0.049
308.000,0.048
309.000,0.048
310.000,0.047
311.000,0.047
312.000,0.047
313.000,0.046
314.000,0.046
315.000,0.045
316.000,0.045
317.000,0.045
318.000,0.044
319.000,0.044
320.000,0.044
321.000,0.043
322.000,0.043
323.000,0.043
324.000,0.042
325.000,0.042
326.000,0.042
327.000,0.041
328.000,0.041
329.000,0.041
330.000,0.041
331.000,0.040
332.000,0.040
333.000,0.040
334.000,0.040
335.000,0.039
336.000,0.039
337.000,0.039
338.000,0.039
339.000,0.038
340.000,0.038
341.000,0.038
342.000,0.038
343.000,0.038
344.000,0.037
345.000,0.037
346.000,0.037
347.000,0.037
348.000,0.036
349.000,0.036
350.000,0.036
351.000,0.036
352.000,0.036
353.000,0.035
354.000,0.035
355.000,0.035
356.000,0.035
357.000,0.035
358.000,0.035
359.000,0.034
360.000,0.034
361.000,0.034
362.000,0.034
363.000,0.034
364.000,0.033
365.000,0.033
366.000,0.033
367.000,0.033
368.000,0.033
369.000,0.033
370.000,0.033
371.000,0.033
372.000,0.032
373.000,0.032
374.000,0.032
375.000,0.032
376.000,0.032
377.000,0.032
378.000,0.032
379.000,0.032
380.000,0.031
381.000,0.031
382.000,0.031
383.000,0.031
384.000,0.031
385.000,0.031
386.000,0.031
387.000,0.031
388.000,0.031
389.000,0.031
390.000,0.031
