[HEADER]
Format,J&M ASCII Table
Comment,Surface FU Blank
Date,6/21/2013 4:29:52 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,-0.005
201.000,-0.005
202.000,-0.006
203.000,-0.006
204.000,-0.007
205.000,-0.007
206.000,-0.008
207.000,-0.008
208.000,-0.008
209.000,-0.009
210.000,-0.009
211.000,-0.009
212.000,-0.009
213.000,-0.009
214.000,-0.009
215.000,-0.009
216.000,-0.009
217.000,-0.009
218.000,-0.009
219.000,-0.009
220.000,-0.009
221.000,-0.009
222.000,-0.008
223.000,-0.008
224.000,-0.008
225.000,-0.008
226.000,-0.008
227.000,-0.008
228.000,-0.007
229.000,-0.007
230.000,-0.007
231.000,-0.007
232.000,-0.007
233.000,-0.007
234.000,-0.007
235.000,-0.007
236.000,-0.007
237.000,-0.007
238.000,-0.007
239.000,-0.007
240.000,-0.007
241.000,-0.007
242.000,-0.007
243.000,-0.007
244.000,-0.007
245.000,-0.007
246.000,-0.007
247.000,-0.007
248.000,-0.007
249.000,-0.007
250.000,-0.007
251.000,-0.007
252.000,-0.007
253.000,-0.007
254.000,-0.007
255.000,-0.007
256.000,-0.007
257.000,-0.007
258.000,-0.007
259.000,-0.007
260.000,-0.007
261.000,-0.007
262.000,-0.007
263.000,-0.007
264.000,-0.007
265.000,-0.007
266.000,-0.007
267.000,-0.007
268.000,-0.007
269.000,-0.007
270.000,-0.007
271.000,-0.007
272.000,-0.007
273.000,-0.007
274.000,-0.007
275.000,-0.007
276.000,-0.007
277.000,-0.007
278.000,-0.007
279.000,-0.007
280.000,-0.007
281.000,-0.007
282.000,-0.007
283.000,-0.007
284.000,-0.007
285.000,-0.007
286.000,-0.007
287.000,-0.007
288.000,-0.007
289.000,-0.007
290.000,-0.007
291.000,-0.007
292.000,-0.007
293.000,-0.007
294.000,-0.007
295.000,-0.007
296.000,-0.007
297.000,-0.007
298.000,-0.007
299.000,-0.007
300.000,-0.007
301.000,-0.007
302.000,-0.007
303.000,-0.007
304.000,-0.007
305.000,-0.007
306.000,-0.007
307.000,-0.007
308.000,-0.007
309.000,-0.006
310.000,-0.006
311.000,-0.006
312.000,-0.006
313.000,-0.006
314.000,-0.006
315.000,-0.006
316.000,-0.006
