[HEADER]
Format,J&M ASCII Table
Comment,TS-04/16/13-Blank
Date,4/18/2013 3:37:31 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,-0.018
201.000,-0.017
202.000,-0.016
203.000,-0.015
204.000,-0.014
205.000,-0.014
206.000,-0.013
207.000,-0.013
208.000,-0.013
209.000,-0.012
210.000,-0.012
211.000,-0.012
212.000,-0.012
213.000,-0.012
214.000,-0.012
215.000,-0.013
216.000,-0.013
217.000,-0.013
218.000,-0.013
219.000,-0.013
220.000,-0.014
221.000,-0.014
222.000,-0.014
223.000,-0.014
224.000,-0.014
225.000,-0.014
226.000,-0.014
227.000,-0.014
228.000,-0.014
229.000,-0.014
230.000,-0.013
231.000,-0.013
232.000,-0.013
233.000,-0.013
234.000,-0.013
235.000,-0.013
236.000,-0.012
237.000,-0.012
238.000,-0.012
239.000,-0.012
240.000,-0.012
241.000,-0.012
242.000,-0.012
243.000,-0.012
244.000,-0.012
245.000,-0.012
246.000,-0.011
247.000,-0.011
248.000,-0.011
249.000,-0.011
250.000,-0.011
251.000,-0.010
252.000,-0.010
253.000,-0.010
254.000,-0.010
255.000,-0.010
256.000,-0.009
257.000,-0.009
258.000,-0.009
259.000,-0.009
260.000,-0.009
261.000,-0.009
262.000,-0.009
263.000,-0.009
264.000,-0.008
265.000,-0.008
266.000,-0.008
267.000,-0.008
268.000,-0.008
269.000,-0.008
270.000,-0.008
271.000,-0.008
272.000,-0.008
273.000,-0.008
274.000,-0.008
275.000,-0.008
276.000,-0.008
277.000,-0.008
278.000,-0.007
279.000,-0.007
280.000,-0.007
281.000,-0.007
282.000,-0.007
283.000,-0.007
284.000,-0.007
285.000,-0.007
286.000,-0.007
287.000,-0.007
288.000,-0.007
289.000,-0.006
290.000,-0.006
291.000,-0.006
292.000,-0.006
293.000,-0.006
294.000,-0.006
295.000,-0.006
296.000,-0.006
297.000,-0.006
298.000,-0.006
299.000,-0.006
300.000,-0.006
301.000,-0.006
302.000,-0.006
303.000,-0.006
304.000,-0.006
305.000,-0.006
306.000,-0.006
307.000,-0.006
308.000,-0.006
309.000,-0.006
310.000,-0.006
311.000,-0.006
312.000,-0.006
313.000,-0.006
314.000,-0.006
315.000,-0.006
316.000,-0.006
317.000,-0.006
318.000,-0.006
319.000,-0.006
320.000,-0.006
321.000,-0.006
322.000,-0.006
323.000,-0.006
324.000,-0.006
325.000,-0.006
326.000,-0.006
327.000,-0.006
328.000,-0.006
329.000,-0.006
330.000,-0.006
331.000,-0.006
332.000,-0.006
333.000,-0.006
334.000,-0.006
335.000,-0.006
336.000,-0.006
337.000,-0.006
338.000,-0.006
339.000,-0.006
340.000,-0.005
341.000,-0.005
342.000,-0.005
343.000,-0.005
344.000,-0.005
345.000,-0.005
346.000,-0.005
347.000,-0.005
348.000,-0.005
349.000,-0.005
350.000,-0.005
351.000,-0.005
352.000,-0.005
353.000,-0.005
354.000,-0.005
355.000,-0.005
356.000,-0.005
357.000,-0.005
358.000,-0.005
359.000,-0.005
