[HEADER]
Format,J&M ASCII Table
Comment,TS-07/15-2100
Date,7/17/2013 1:46:18 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.141
201.000,0.136
202.000,0.131
203.000,0.126
204.000,0.122
205.000,0.118
206.000,0.114
207.000,0.110
208.000,0.107
209.000,0.105
210.000,0.102
211.000,0.100
212.000,0.098
213.000,0.096
214.000,0.094
215.000,0.092
216.000,0.090
217.000,0.088
218.000,0.086
219.000,0.084
220.000,0.081
221.000,0.079
222.000,0.076
223.000,0.074
224.000,0.072
225.000,0.070
226.000,0.068
227.000,0.066
228.000,0.064
229.000,0.063
230.000,0.061
231.000,0.060
232.000,0.059
233.000,0.058
234.000,0.057
235.000,0.056
236.000,0.055
237.000,0.054
238.000,0.054
239.000,0.053
240.000,0.052
241.000,0.052
242.000,0.051
243.000,0.051
244.000,0.050
245.000,0.049
246.000,0.049
247.000,0.048
248.000,0.048
249.000,0.047
250.000,0.047
251.000,0.046
252.000,0.046
253.000,0.046
254.000,0.045
255.000,0.045
256.000,0.045
257.000,0.044
258.000,0.044
259.000,0.044
260.000,0.044
261.000,0.043
262.000,0.043
263.000,0.043
264.000,0.042
265.000,0.042
266.000,0.041
267.000,0.041
268.000,0.041
269.000,0.040
270.000,0.040
271.000,0.039
272.000,0.038
273.000,0.038
274.000,0.037
275.000,0.037
276.000,0.036
277.000,0.035
278.000,0.035
279.000,0.034
280.000,0.034
281.000,0.033
282.000,0.032
283.000,0.032
284.000,0.031
285.000,0.031
286.000,0.030
287.000,0.029
288.000,0.029
289.000,0.028
290.000,0.028
291.000,0.027
292.000,0.027
293.000,0.026
294.000,0.025
295.000,0.025
296.000,0.024
297.000,0.024
298.000,0.023
299.000,0.023
300.000,0.023
301.000,0.022
302.000,0.022
303.000,0.021
304.000,0.021
305.000,0.021
306.000,0.020
307.000,0.020
308.000,0.019
309.000,0.019
310.000,0.019
311.000,0.018
312.000,0.018
313.000,0.018
314.000,0.017
315.000,0.017
316.000,0.017
317.000,0.016
318.000,0.016
319.000,0.016
320.000,0.015
321.000,0.015
322.000,0.015
323.000,0.014
324.000,0.014
325.000,0.014
326.000,0.014
327.000,0.013
328.000,0.013
329.000,0.013
330.000,0.013
331.000,0.012
332.000,0.012
333.000,0.012
334.000,0.012
335.000,0.011
336.000,0.011
337.000,0.011
338.000,0.011
339.000,0.010
340.000,0.010
341.000,0.010
342.000,0.010
343.000,0.010
344.000,0.009
345.000,0.009
346.000,0.009
347.000,0.009
348.000,0.009
349.000,0.008
350.000,0.008
351.000,0.008
352.000,0.008
353.000,0.008
354.000,0.007
355.000,0.007
356.000,0.007
357.000,0.007
358.000,0.007
359.000,0.006
360.000,0.006
361.000,0.006
362.000,0.006
363.000,0.006
364.000,0.005
365.000,0.005
366.000,0.005
367.000,0.005
368.000,0.005
369.000,0.005
370.000,0.004
371.000,0.004
372.000,0.004
373.000,0.004
374.000,0.004
375.000,0.004
376.000,0.003
377.000,0.003
378.000,0.003
379.000,0.003
380.000,0.003
381.000,0.003
382.000,0.003
383.000,0.003
384.000,0.002
385.000,0.002
386.000,0.002
387.000,0.002
388.000,0.002
389.000,0.002
390.000,0.002
391.000,0.002
392.000,0.001
393.000,0.001
394.000,0.001
395.000,0.001
396.000,0.001
397.000,0.001
398.000,0.001
399.000,0.001
400.000,0.000
401.000,0.000
402.000,0.000
403.000,0.000
404.000,0.000
405.000,-0.000
406.000,-0.000
407.000,-0.001
408.000,-0.001
409.000,-0.001
410.000,-0.001
411.000,-0.001
412.000,-0.001
413.000,-0.001
414.000,-0.001
415.000,-0.001
416.000,-0.002
417.000,-0.002
418.000,-0.002
419.000,-0.002
420.000,-0.002
421.000,-0.002
422.000,-0.002
423.000,-0.002
424.000,-0.002
425.000,-0.002
426.000,-0.002
427.000,-0.002
428.000,-0.002
429.000,-0.003
430.000,-0.003
431.000,-0.003
432.000,-0.003
433.000,-0.003
434.000,-0.003
435.000,-0.003
436.000,-0.003
437.000,-0.003
438.000,-0.003
439.000,-0.003
440.000,-0.003
441.000,-0.003
442.000,-0.003
443.000,-0.003
444.000,-0.003
445.000,-0.003
446.000,-0.004
447.000,-0.004
448.000,-0.004
449.000,-0.004
450.000,-0.004
451.000,-0.004
452.000,-0.004
453.000,-0.004
454.000,-0.004
455.000,-0.004
456.000,-0.004
457.000,-0.004
458.000,-0.004
459.000,-0.004
460.000,-0.004
461.000,-0.004
462.000,-0.004
463.000,-0.004
464.000,-0.004
465.000,-0.004
466.000,-0.004
467.000,-0.004
468.000,-0.004
469.000,-0.004
470.000,-0.004
471.000,-0.004
472.000,-0.005
473.000,-0.005
474.000,-0.005
475.000,-0.005
476.000,-0.005
477.000,-0.005
478.000,-0.005
479.000,-0.005
480.000,-0.005
481.000,-0.005
482.000,-0.005
483.000,-0.005
484.000,-0.005
485.000,-0.005
486.000,-0.005
487.000,-0.005
488.000,-0.005
489.000,-0.005
490.000,-0.005
491.000,-0.005
492.000,-0.005
493.000,-0.005
494.000,-0.005
495.000,-0.005
496.000,-0.005
497.000,-0.005
498.000,-0.005
499.000,-0.005
500.000,-0.005
501.000,-0.005
502.000,-0.005
503.000,-0.005
504.000,-0.005
505.000,-0.005
506.000,-0.005
507.000,-0.005
508.000,-0.005
509.000,-0.005
510.000,-0.005
511.000,-0.005
512.000,-0.005
513.000,-0.005
514.000,-0.005
515.000,-0.005
516.000,-0.005
517.000,-0.005
518.000,-0.005
519.000,-0.005
520.000,-0.005
521.000,-0.005
522.000,-0.005
523.000,-0.005
524.000,-0.005
