,0
285,5342.6777
286,5236.4187
287,5184.3799
288,4899.2832
289,5197.2793
290,5507.2156
291,6277.3623
292,8365.2607
293,12602.678
294,20330.892
295,34296.501
296,55310.178
297,85617.087
298,122934.55
299,167595.99
300,213865.15
301,255790.12
302,285020.08
303,301600.81
304,298519.44
305,276953.22
306,244894.89
307,202430.66
308,159133.51
309,115418.69
310,78631.526
311,52132.438
312,32398.66
313,20593.59
314,14627.793
315,11414.635
316,9402.1711
317,8557.2461
318,8167.1511
319,7509.1218
320,7848.97
321,7729.9477
322,7595.6128
323,7834.3374
324,7857.552
325,7080.3066
326,7860.3591
327,7369.9116
328,7537.0735
329,7787.4331
330,7620.1706
331,7894.0027
332,7687.9001
333,7698.9119
334,7630.4014
335,8247.6526
336,9087.0644
337,8542.7695
338,8688.9812
339,8060.021
340,8379.8262
341,8288.2622
342,8104.4224
343,7609.6887
344,7847.3962
345,7007.2634
346,7177.7268
347,7490.9079
348,6941.3906
349,6945.2566
350,7106.8025
351,6971.9009
352,6999.5933
353,6698.3518
354,6478.3738
355,6108.4839
356,6008.2153
357,5949.8655
358,5883.0732
359,5934.5366
360,6013.7554
361,5712.3171
362,5853.6531
363,5725.1272
364,5726.2017
365,5714.3174
366,5935.7424
367,5802.8909
368,5762.5002
369,5615.1665
370,5321.4016
371,5457.2461
372,5138.2541
373,5020.79
374,4903.8162
375,4879.4058
376,4501.5969
377,4442.02
378,4348.5039
379,4234.2703
380,4572.1279
381,4244.6997
382,4092.063
383,4214.5935
384,3949.1614
385,4052.7527
386,4064.227
387,4062.9365
388,3877.2842
389,3738.4949
390,3961.0349
391,3968.2319
392,3754.3591
393,3554.1592
394,3673.3447
395,3460.2654
396,3335.4458
397,3495.8806
398,3145.0037
399,3271.4526
400,3230.5776
401,3167.6929
402,3209.7283
403,3113.4949
404,2935.4697
405,3065.3686
406,2950.3286
407,2930.9009
408,2736.6172
409,2927.2148
410,2670.2864
411,2939.6863
412,2746.5181
413,2893.0942
414,2649.529
415,2556.7912
416,2517.5618
417,2503.7334
418,2498.4975
419,2461.2751
420,2491.3386
421,2228.1987
422,2305.0198
423,2521.5217
424,2252.2898
425,2311.0725
426,2403.7524
427,1915.6238
428,2168.2085
429,2104.2812
430,2282.1899
431,2051.436
432,1987.0093
433,2101.8098
434,1942.2878
435,1962.1577
436,2114.6943
437,2016.4651
438,1832.2441
439,1876.2871
440,2027.8115
441,2052.1775
442,2080.1816
443,2045.706
444,1999.3779
445,1755.1167
446,1863.323
447,2065.9321
448,1789.1077
449,1874.9409
450,1904.009
