,0
285,5870.7883
286,5912.5478
287,5864.0723
288,6984.9441
289,7115.7746
290,7478.0432
291,9641.5561
292,14558.714
293,21452.897
294,35262.897
295,59132.349
296,91752.979
297,131219.54
298,178244.66
299,227037.79
300,271770.91
301,307307.44
302,323659.4
303,330017.31
304,307089.68
305,270576.13
306,225855.31
307,174015.36
308,130578.89
309,86929.749
310,55923.423
311,34418.166
312,22382.962
313,14158.484
314,10544.935
315,8242.8225
316,7335.6179
317,5920.1714
318,5934.6785
319,5975.2454
320,5228.2649
321,5462.4272
322,5144.8503
323,5451.0359
324,5040.813
325,5015.2725
326,5366.8943
327,4941.1384
328,4699.8362
329,5199.7737
330,5139.5598
331,5212.7659
332,5775.6775
333,6130.1858
334,5682.4988
335,6055.6311
336,5435.0002
337,5631.1404
338,5891.7475
339,6883.7134
340,6238.6448
341,6147.8747
342,5553.2454
343,5889.6877
344,5733.9143
345,4800.5564
346,5221.5149
347,5318.8638
348,4988.4053
349,5105.271
350,5199.7292
351,4766.7781
352,5039.1338
353,4760.6948
354,5086.7583
355,5191.7041
356,4762.0969
357,5022.3589
358,4438.0874
359,4818.3391
360,4481.2786
361,4699.9717
362,4574.6269
363,4621.458
364,4469.3484
365,4454.1648
366,4414.4551
367,4929.5962
368,4381.1909
369,4729.5461
370,4249.4858
371,4854.1736
372,4597.5784
373,4398.8662
374,4582.573
375,4496.4631
376,4144.4958
377,4535.208
378,4575.7737
379,4522.3899
380,3992.469
381,4343.5579
382,4560.1824
383,4055.4106
384,3974.8174
385,3923.394
386,4580.3584
387,3749.1799
388,3963.562
389,4175.6177
390,4512.3081
391,3770.9883
392,4294.3694
393,4220.9756
394,3963.6753
395,4081.9067
396,4141.4033
397,3577.2444
398,3813.6675
399,3803.3584
400,3300.5071
401,3630.7195
402,3433.4414
403,3497.7266
404,3506.1694
405,3049.1081
406,3606.9253
407,3003.7715
408,2936.9375
409,3348.3806
410,3034.5596
411,3012.2507
412,2995.7087
413,3023.3091
414,3269.9968
415,3099.988
416,3095.8093
417,3267.2737
418,3301.9182
419,3037.626
420,3094.5652
421,3123.2898
422,2633.9839
423,2612.6714
424,2813.1279
425,2699.8489
426,3064.3379
427,2741.448
428,3288.7261
429,2997.6982
430,2697.8418
431,2865.5232
432,2790.5603
433,2922.3547
434,2895.7009
435,2870.6721
436,2585.3911
437,3079.302
438,2334.5991
439,2557.5102
440,3207.1582
441,2422.5066
442,2408.51
443,2613.9563
444,2273.0366
445,2894.7908
446,2426.241
447,2573.3472
448,2556.7273
449,2217.3843
450,3068.344
