,0
285,5828.0449
286,5863.3667
287,6015.1492
288,6466.7134
289,6256.7881
290,7039.1184
291,8291.2893
292,10477.429
293,16112.406
294,26311.881
295,43923.158
296,67761.997
297,99379.865
298,142247.58
299,189241.9
300,238817.09
301,275774.51
302,304742.27
303,312128.47
304,303339.87
305,279274.75
306,243262.81
307,197222.17
308,150292.94
309,107182.71
310,71659.723
311,46605.641
312,30194.754
313,20024.215
314,14084.507
315,12168.747
316,10217.387
317,8541.3684
318,8936.7829
319,8167.508
320,8342.7786
321,8222.6965
322,8089.4866
323,8563.5205
324,8868.5613
325,8854.2344
326,8444.5478
327,8954.7258
328,8620.4492
329,9195.552
330,9364.3745
331,9660.9399
332,10182.088
333,10312.338
334,10750.29
335,10990.541
336,10833.511
337,10916.787
338,11621.323
339,11649.238
340,11310.829
341,11335.34
342,11627.152
343,11397.386
344,11354.879
345,10633.367
346,11478.869
347,10867.043
348,10899.486
349,10321.464
350,10470.036
351,10775.942
352,10545.222
353,10491.651
354,10797.334
355,10303.537
356,10274.481
357,9802.4683
358,10435.154
359,10479.75
360,9935.1609
361,10093.687
362,9969.9878
363,10743.203
364,10256.696
365,10243.444
366,9862.8506
367,9392.9363
368,9032.9436
369,9202.6819
370,9273.3552
371,8741.1614
372,9642.5496
373,9603.9419
374,9259.0871
375,8683.6741
376,8672.4297
377,7777.3039
378,7696.3118
379,8247.02
380,7890.3537
381,7444.9519
382,7381.9853
383,8082.2378
384,7383.4751
385,7689.6579
386,7306.8603
387,7531.4665
388,7051.0315
389,6926.7124
390,7073.0417
391,6792.5793
392,6416.1999
393,5771.8982
394,6552.7383
395,5946.9604
396,5753.9111
397,5654.7537
398,5700.4919
399,5385.4141
400,5296.2165
401,5370.7295
402,5160.6894
403,5139.262
404,5397.5215
405,4977.6655
406,5054.7756
407,4799.407
408,4518.0166
409,4778.5386
410,4697.6252
411,4324.053
412,4886.7334
413,4570.5029
414,4198.7859
415,4071.2373
416,3552.7944
417,4112.3547
418,3838.0046
419,3650.9912
420,3788.758
421,3672.4473
422,3440.3137
423,3725.1387
424,3290.3909
425,3426.6345
426,3588.3718
427,3563.7851
428,3339.6902
429,3362.8237
430,3178.3391
431,3308.3577
432,3046.6848
433,3062.7302
434,3025.9433
435,3230.2507
436,3454.2475
437,3300.2685
438,2857.1958
439,3338.8205
440,3132.5166
441,3231.3938
442,2791.7366
443,2942.76
444,2853.1599
445,2901.165
446,3009.1199
447,2729.501
448,2854.6455
449,2427.8391
450,2758.3772
