,0
285,5666.0713
286,5476.4175
287,5439.926
288,5611.5771
289,5814.8489
290,6139.9729
291,6929.0102
292,8740.9492
293,12215.115
294,19001.662
295,32917.978
296,53149.349
297,80634.12
298,114709.32
299,154746.05
300,201036.12
301,240363.09
302,272895.9
303,290150.49
304,287622.43
305,271057.45
306,243321.04
307,206715.08
308,160634.63
309,117435.23
310,83126.121
311,56339.004
312,35206.062
313,21873.364
314,14438.737
315,11632.025
316,10173.378
317,8866.5857
318,8400.9001
319,7297.8638
320,7353.8472
321,6929.0466
322,7829.5212
323,6875.6304
324,7384.4451
325,7177.8994
326,7896.7419
327,7328.376
328,7023.2183
329,7655.812
330,7483.428
331,7072.9094
332,7750.0886
333,7832.8179
334,8011.1433
335,7814.124
336,8478.7532
337,8246.6448
338,7935.5915
339,8376.125
340,8141.541
341,8333.9751
342,8028.4497
343,7751.1018
344,7751.4602
345,7589.5779
346,7282.2805
347,7595.8516
348,7222.5212
349,7107.6377
350,7575.874
351,6910.9883
352,7414.3725
353,7371.1777
354,6548.1687
355,6875.948
356,6777.7051
357,6155.8823
358,6400.3328
359,6557.2761
360,6572.8135
361,6097.0915
362,6445.0056
363,6456.081
364,6081.3672
365,6635.3118
366,6062.3335
367,5990.5137
368,6063.9216
369,6003.1863
370,5599.4578
371,6063.7815
372,5653.6775
373,5403.4082
374,5614.4297
375,5677.6655
376,5100.824
377,5239.2273
378,5043.7768
379,5136.4587
380,4695.667
381,4664.4807
382,4550.0388
383,4731.7883
384,4457.1033
385,4567.1948
386,4010.438
387,4421.9495
388,4467.8967
389,4217.5583
390,4149.5054
391,4335.4714
392,4058.5915
393,4091.3635
394,4194.4372
395,3681.6526
396,3831.7715
397,3725.4556
398,3697.0286
399,3493.5171
400,3209.1982
401,3526.1147
402,3388.2383
403,3536.1006
404,3228.2422
405,3444.1577
406,3534.0315
407,3463.9365
408,3357.0742
409,3117.9028
410,3211.7192
411,3063.5652
412,3289.6003
413,3165.5076
414,3243.2766
415,3040.3794
416,2956.3933
417,3064.957
418,2956.5298
419,2788.2615
420,3094.6167
421,2695.999
422,2817.8122
423,2995.4414
424,3072.6816
425,2903.3501
426,3066.9409
427,2929.3186
428,2703.4314
429,2571.7629
430,2647.1924
431,2678.8393
432,2662.1528
433,2810.1133
434,2749.2202
435,2812.0835
436,2587.4216
437,2771.9602
438,2526.8284
439,2417.3743
440,2547.1531
441,2316.4717
442,2541.8245
443,2742.364
444,2410.251
445,2478.8872
446,2749.178
447,2524.4167
448,2495.4365
449,2569.6064
450,2548.2512
