,0
285,8807.7143
286,9739.508
287,8969.3279
288,8029.3787
289,7745.8713
290,7694.2234
291,8014.0022
292,9975.3725
293,14729.791
294,23528.366
295,40388.598
296,65956.029
297,98614.333
298,140069.83
299,193005.49
300,243790.38
301,286769.61
302,320205.58
303,339763.4
304,336528.73
305,315114.22
306,273256.23
307,227344.65
308,172956.92
309,124913.43
310,86449.595
311,55095.292
312,35796.787
313,22023.186
314,15967.23
315,13103.969
316,11118.419
317,10278.205
318,9454.7522
319,8437.4695
320,7490.4702
321,6664.2939
322,6283.5508
323,5530.7078
324,5192.6343
325,4573.4014
326,4874.1872
327,4465.3181
328,4249.1533
329,4160.6658
330,4096.103
331,3928.2253
332,4213.1836
333,4593.0242
334,4521.8721
335,4665.7541
336,4756.3166
337,5050.1907
338,5364.2637
339,4947.6367
340,5346.0264
341,5464.8694
342,4767.2312
343,4782.5662
344,4529.7497
345,4568.9648
346,4254.2988
347,3961.8735
348,3550.2539
349,4282.1606
350,3926.7598
351,3599.488
352,3903.9919
353,3581.8721
354,3568.7019
355,3705.8433
356,3777.0391
357,3608.0229
358,3141.4079
359,3346.2925
360,3642.9873
361,3508.3357
362,3286.9314
363,3635.8787
364,3297.8657
365,3427.3638
366,3224.1448
367,2970.8166
368,3218.8079
369,3392.4797
370,3021.4165
371,3218.0351
372,3009.7217
373,3107.9341
374,2992.2573
375,2951.2685
376,3129.6677
377,2820.7993
378,2885.7339
379,2850.1919
380,3013.387
381,2951.2422
382,2610.1316
383,2736.1726
384,3039.2436
385,2864.0808
386,2685.3755
387,2789.8464
388,2795.7505
389,2968.0974
390,2803.5886
391,2654.7808
392,2938.8784
393,2729.5439
394,2586.6897
395,2698.0972
396,2317.1164
397,2265.0359
398,2537.6882
399,2157.7175
400,2481.9636
401,2421.9089
402,2306.2729
403,2438.7422
404,2487.3633
405,2271.2151
406,2270.53
407,2185.4429
408,2073.2856
409,1959.3589
410,2378.1001
411,1990.8457
412,1864.0488
413,2109.2915
414,2008.2642
415,1737.758
416,2085.4595
417,1845.8044
418,2024.7229
419,1838.1374
420,1874.1228
421,1802.5698
422,1864.7605
423,1829.5012
424,1999.8755
425,1902.8818
426,1663.0351
427,1767.5847
428,1463.9341
429,1723.6323
430,1731.1328
431,1847.6406
432,1742.1912
433,1820.7817
434,1632.4936
435,1554.3811
436,1689.3545
437,1666.6518
438,1596.6506
439,1697.0989
440,1330.6247
441,1286.8757
442,1581.2102
443,1518.4748
444,1423.3735
445,1421.5019
446,1508.9114
447,1570.165
448,1491.4111
449,1447.8464
450,1562.708
