[HEADER]
Format,J&M ASCII Table
Comment,SAT07 Surface
Date,5/24/2013 3:25:07 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.743
201.000,0.730
202.000,0.704
203.000,0.666
204.000,0.620
205.000,0.570
206.000,0.517
207.000,0.464
208.000,0.412
209.000,0.365
210.000,0.321
211.000,0.283
212.000,0.249
213.000,0.220
214.000,0.195
215.000,0.174
216.000,0.156
217.000,0.141
218.000,0.128
219.000,0.117
220.000,0.107
221.000,0.099
222.000,0.092
223.000,0.086
224.000,0.081
225.000,0.077
226.000,0.073
227.000,0.070
228.000,0.067
229.000,0.065
230.000,0.063
231.000,0.062
232.000,0.060
233.000,0.059
234.000,0.058
235.000,0.057
236.000,0.056
237.000,0.055
238.000,0.055
239.000,0.054
240.000,0.053
241.000,0.053
242.000,0.052
243.000,0.051
244.000,0.051
245.000,0.050
246.000,0.049
247.000,0.049
248.000,0.048
249.000,0.048
250.000,0.047
251.000,0.046
252.000,0.046
253.000,0.045
254.000,0.045
255.000,0.045
256.000,0.044
257.000,0.044
258.000,0.043
259.000,0.043
260.000,0.043
261.000,0.042
262.000,0.042
263.000,0.041
264.000,0.041
265.000,0.041
266.000,0.040
267.000,0.040
268.000,0.039
269.000,0.039
270.000,0.038
271.000,0.038
272.000,0.037
273.000,0.037
274.000,0.036
275.000,0.036
276.000,0.035
277.000,0.034
278.000,0.034
279.000,0.033
280.000,0.033
281.000,0.032
282.000,0.032
283.000,0.031
284.000,0.031
285.000,0.030
286.000,0.030
287.000,0.029
288.000,0.028
289.000,0.028
290.000,0.027
291.000,0.027
292.000,0.026
293.000,0.026
294.000,0.025
295.000,0.025
296.000,0.024
297.000,0.024
298.000,0.023
299.000,0.023
300.000,0.023
301.000,0.022
302.000,0.022
303.000,0.022
304.000,0.021
305.000,0.021
306.000,0.020
307.000,0.020
308.000,0.020
309.000,0.019
310.000,0.019
311.000,0.019
312.000,0.018
313.000,0.018
314.000,0.018
315.000,0.017
316.000,0.017
317.000,0.017
318.000,0.017
319.000,0.016
320.000,0.016
321.000,0.016
322.000,0.015
323.000,0.015
324.000,0.015
325.000,0.015
326.000,0.014
327.000,0.014
328.000,0.014
329.000,0.014
330.000,0.013
331.000,0.013
332.000,0.013
333.000,0.013
334.000,0.013
335.000,0.012
336.000,0.012
337.000,0.012
338.000,0.012
339.000,0.012
340.000,0.011
341.000,0.011
342.000,0.011
343.000,0.011
344.000,0.011
345.000,0.010
346.000,0.010
347.000,0.010
348.000,0.010
349.000,0.010
350.000,0.010
351.000,0.010
352.000,0.009
353.000,0.009
354.000,0.009
355.000,0.009
356.000,0.009
357.000,0.009
358.000,0.009
359.000,0.008
360.000,0.008
361.000,0.008
362.000,0.008
363.000,0.008
364.000,0.008
365.000,0.008
366.000,0.008
367.000,0.007
368.000,0.007
369.000,0.007
370.000,0.007
371.000,0.007
372.000,0.007
373.000,0.007
374.000,0.007
375.000,0.007
376.000,0.007
377.000,0.007
378.000,0.007
379.000,0.006
380.000,0.006
381.000,0.006
382.000,0.006
383.000,0.006
384.000,0.006
385.000,0.006
386.000,0.006
387.000,0.006
388.000,0.006
389.000,0.006
390.000,0.006
391.000,0.006
392.000,0.006
393.000,0.006
394.000,0.006
395.000,0.006
396.000,0.006
397.000,0.006
398.000,0.006
399.000,0.006
400.000,0.006
401.000,0.006
402.000,0.005
403.000,0.005
404.000,0.005
405.000,0.005
406.000,0.005
407.000,0.005
408.000,0.005
409.000,0.005
410.000,0.005
411.000,0.004
412.000,0.004
413.000,0.004
414.000,0.004
415.000,0.004
416.000,0.004
417.000,0.004
418.000,0.004
419.000,0.004
420.000,0.004
421.000,0.004
422.000,0.004
423.000,0.004
424.000,0.004
425.000,0.004
426.000,0.003
427.000,0.003
428.000,0.003
429.000,0.003
430.000,0.003
431.000,0.003
432.000,0.003
433.000,0.003
434.000,0.003
435.000,0.003
436.000,0.003
437.000,0.003
438.000,0.003
439.000,0.003
440.000,0.003
441.000,0.003
442.000,0.003
443.000,0.003
444.000,0.003
445.000,0.003
446.000,0.003
447.000,0.003
448.000,0.003
449.000,0.003
450.000,0.003
451.000,0.003
452.000,0.003
453.000,0.003
454.000,0.003
455.000,0.002
456.000,0.002
457.000,0.002
458.000,0.002
459.000,0.002
460.000,0.002
461.000,0.002
462.000,0.002
463.000,0.002
464.000,0.002
465.000,0.002
466.000,0.002
467.000,0.002
468.000,0.002
469.000,0.002
470.000,0.002
471.000,0.002
472.000,0.002
473.000,0.002
474.000,0.002
475.000,0.002
476.000,0.002
477.000,0.002
478.000,0.002
479.000,0.002
480.000,0.002
481.000,0.002
482.000,0.002
483.000,0.002
484.000,0.002
485.000,0.002
486.000,0.002
487.000,0.002
488.000,0.002
489.000,0.002
490.000,0.002
491.000,0.002
492.000,0.002
493.000,0.002
494.000,0.002
495.000,0.002
496.000,0.002
497.000,0.002
498.000,0.002
499.000,0.002
500.000,0.002
501.000,0.002
502.000,0.002
503.000,0.002
504.000,0.002
505.000,0.002
506.000,0.002
507.000,0.002
508.000,0.002
509.000,0.002
510.000,0.002
511.000,0.002
512.000,0.002
513.000,0.002
514.000,0.002
515.000,0.002
516.000,0.002
517.000,0.002
518.000,0.002
519.000,0.002
520.000,0.002
521.000,0.002
522.000,0.002
523.000,0.002
524.000,0.002
525.000,0.001
526.000,0.001
527.000,0.001
528.000,0.001
529.000,0.001
530.000,0.001
531.000,0.001
532.000,0.001
533.000,0.001
534.000,0.001
535.000,0.001
536.000,0.001
537.000,0.001
538.000,0.001
539.000,0.001
540.000,0.001
541.000,0.001
542.000,0.001
543.000,0.001
544.000,0.001
545.000,0.001
546.000,0.001
547.000,0.001
548.000,0.001
549.000,0.001
550.000,0.001
551.000,0.001
552.000,0.001
553.000,0.001
554.000,0.001
555.000,0.001
556.000,0.001
557.000,0.001
558.000,0.001
559.000,0.001
560.000,0.001
561.000,0.001
562.000,0.001
563.000,0.001
564.000,0.001
565.000,0.001
566.000,0.001
567.000,0.001
568.000,0.001
569.000,0.001
570.000,0.001
571.000,0.001
572.000,0.001
573.000,0.001
574.000,0.001
575.000,0.001
576.000,0.001
577.000,0.001
578.000,0.001
579.000,0.001
580.000,0.001
581.000,0.001
582.000,0.001
583.000,0.001
584.000,0.001
585.000,0.001
586.000,0.001
587.000,0.001
588.000,0.001
589.000,0.001
590.000,0.001
591.000,0.001
592.000,0.001
593.000,0.001
594.000,0.001
595.000,0.001
596.000,0.001
597.000,0.001
598.000,0.001
599.000,0.001
600.000,0.001
601.000,0.001
602.000,0.001
603.000,0.001
604.000,0.001
605.000,0.001
606.000,0.001
607.000,0.001
608.000,0.001
609.000,0.001
610.000,0.001
611.000,0.001
612.000,0.001
613.000,0.001
614.000,0.001
615.000,0.001
616.000,0.001
617.000,0.001
618.000,0.001
619.000,0.001
620.000,0.001
621.000,0.001
622.000,0.001
623.000,0.001
624.000,0.001
625.000,0.001
626.000,0.001
627.000,0.001
628.000,0.001
629.000,0.001
630.000,0.001
631.000,0.001
632.000,0.001
633.000,0.001
634.000,0.001
635.000,0.001
636.000,0.001
637.000,0.001
638.000,0.001
639.000,0.001
640.000,0.001
641.000,0.001
642.000,0.001
643.000,0.001
644.000,0.001
645.000,0.001
646.000,0.001
647.000,0.001
648.000,0.001
649.000,0.001
650.000,0.001
651.000,0.001
652.000,0.001
653.000,0.001
654.000,0.001
655.000,0.001
656.000,0.001
657.000,0.001
658.000,0.001
659.000,0.001
660.000,0.001
661.000,0.001
662.000,0.001
663.000,0.001
664.000,0.001
665.000,0.001
666.000,0.001
667.000,0.001
668.000,0.001
669.000,0.001
670.000,0.001
671.000,0.001
672.000,0.001
673.000,0.001
674.000,0.001
675.000,0.001
676.000,0.001
677.000,0.001
678.000,0.001
679.000,0.001
680.000,0.001
681.000,0.001
682.000,0.001
683.000,0.001
684.000,0.001
685.000,0.001
686.000,0.001
687.000,0.001
688.000,0.001
689.000,0.001
690.000,0.001
691.000,0.001
692.000,0.001
693.000,0.001
694.000,0.001
695.000,0.001
696.000,0.001
697.000,0.001
698.000,0.001
