[HEADER]
Format,J&M ASCII Table
Comment,
Date,7/26/2013 5:20:08 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.776
201.000,0.773
202.000,0.763
203.000,0.743
204.000,0.717
205.000,0.685
206.000,0.648
207.000,0.604
208.000,0.555
209.000,0.504
210.000,0.452
211.000,0.400
212.000,0.352
213.000,0.308
214.000,0.269
215.000,0.235
216.000,0.206
217.000,0.181
218.000,0.159
219.000,0.140
220.000,0.124
221.000,0.110
222.000,0.098
223.000,0.088
224.000,0.079
225.000,0.071
226.000,0.065
227.000,0.060
228.000,0.055
229.000,0.052
230.000,0.048
231.000,0.046
232.000,0.044
233.000,0.042
234.000,0.040
235.000,0.039
236.000,0.038
237.000,0.037
238.000,0.036
239.000,0.035
240.000,0.034
241.000,0.034
242.000,0.033
243.000,0.033
244.000,0.032
245.000,0.032
246.000,0.031
247.000,0.031
248.000,0.031
249.000,0.030
250.000,0.030
251.000,0.030
252.000,0.030
253.000,0.030
254.000,0.029
255.000,0.029
256.000,0.029
257.000,0.029
258.000,0.029
259.000,0.029
260.000,0.029
261.000,0.028
262.000,0.028
263.000,0.028
264.000,0.028
265.000,0.028
266.000,0.028
267.000,0.027
268.000,0.027
269.000,0.027
270.000,0.027
271.000,0.026
272.000,0.026
273.000,0.026
274.000,0.025
275.000,0.025
276.000,0.025
277.000,0.024
278.000,0.024
279.000,0.024
280.000,0.024
281.000,0.023
282.000,0.023
283.000,0.023
284.000,0.022
285.000,0.022
286.000,0.022
287.000,0.021
288.000,0.021
289.000,0.021
290.000,0.020
291.000,0.020
292.000,0.020
293.000,0.019
294.000,0.019
295.000,0.019
296.000,0.018
297.000,0.018
298.000,0.018
299.000,0.018
300.000,0.017
301.000,0.017
302.000,0.017
303.000,0.016
304.000,0.016
305.000,0.016
306.000,0.016
307.000,0.015
308.000,0.015
309.000,0.015
310.000,0.015
311.000,0.015
312.000,0.014
313.000,0.014
314.000,0.014
315.000,0.014
316.000,0.013
317.000,0.013
318.000,0.013
319.000,0.013
320.000,0.013
321.000,0.012
322.000,0.012
323.000,0.012
324.000,0.012
325.000,0.012
326.000,0.011
327.000,0.011
328.000,0.011
329.000,0.011
330.000,0.011
331.000,0.011
332.000,0.010
333.000,0.010
334.000,0.010
335.000,0.010
336.000,0.010
337.000,0.010
338.000,0.010
339.000,0.009
340.000,0.009
341.000,0.009
342.000,0.009
343.000,0.009
344.000,0.009
345.000,0.009
346.000,0.009
347.000,0.008
348.000,0.008
349.000,0.008
350.000,0.008
351.000,0.008
352.000,0.008
353.000,0.008
354.000,0.008
355.000,0.008
356.000,0.008
357.000,0.008
358.000,0.008
359.000,0.007
360.000,0.007
361.000,0.007
362.000,0.007
363.000,0.007
364.000,0.007
365.000,0.007
366.000,0.007
367.000,0.007
368.000,0.007
369.000,0.007
370.000,0.007
371.000,0.007
372.000,0.007
373.000,0.007
374.000,0.007
375.000,0.007
376.000,0.007
377.000,0.007
378.000,0.007
379.000,0.007
380.000,0.007
381.000,0.007
382.000,0.007
383.000,0.007
384.000,0.007
385.000,0.007
386.000,0.007
387.000,0.007
388.000,0.007
389.000,0.007
390.000,0.007
391.000,0.007
392.000,0.007
393.000,0.007
394.000,0.007
395.000,0.007
396.000,0.007
397.000,0.007
398.000,0.007
399.000,0.007
400.000,0.007
401.000,0.007
402.000,0.007
403.000,0.007
404.000,0.007
405.000,0.007
406.000,0.007
407.000,0.007
408.000,0.007
409.000,0.007
410.000,0.007
411.000,0.006
412.000,0.006
413.000,0.006
414.000,0.006
415.000,0.006
416.000,0.006
417.000,0.006
418.000,0.006
419.000,0.006
420.000,0.006
421.000,0.006
422.000,0.006
423.000,0.006
424.000,0.006
425.000,0.006
426.000,0.006
427.000,0.006
428.000,0.006
429.000,0.006
430.000,0.006
431.000,0.006
432.000,0.006
433.000,0.006
434.000,0.006
435.000,0.006
436.000,0.006
437.000,0.006
438.000,0.005
439.000,0.005
440.000,0.005
441.000,0.005
442.000,0.005
443.000,0.005
444.000,0.005
445.000,0.005
446.000,0.005
447.000,0.005
448.000,0.005
449.000,0.005
450.000,0.005
451.000,0.005
452.000,0.005
453.000,0.005
454.000,0.005
455.000,0.005
456.000,0.005
457.000,0.005
458.000,0.005
459.000,0.005
460.000,0.005
461.000,0.005
462.000,0.005
463.000,0.005
464.000,0.005
465.000,0.005
466.000,0.005
467.000,0.005
468.000,0.005
469.000,0.005
470.000,0.005
471.000,0.005
472.000,0.005
473.000,0.005
474.000,0.005
475.000,0.005
476.000,0.005
477.000,0.005
478.000,0.005
479.000,0.005
480.000,0.004
481.000,0.004
482.000,0.004
483.000,0.004
484.000,0.004
485.000,0.004
486.000,0.004
487.000,0.004
488.000,0.004
489.000,0.004
490.000,0.004
491.000,0.004
492.000,0.004
493.000,0.004
494.000,0.004
495.000,0.004
496.000,0.004
497.000,0.004
498.000,0.004
499.000,0.004
500.000,0.004
501.000,0.004
502.000,0.004
503.000,0.004
504.000,0.004
505.000,0.004
506.000,0.004
507.000,0.004
508.000,0.004
509.000,0.004
510.000,0.004
511.000,0.004
512.000,0.004
513.000,0.004
514.000,0.004
515.000,0.004
516.000,0.004
517.000,0.004
518.000,0.004
519.000,0.004
520.000,0.004
521.000,0.004
522.000,0.004
523.000,0.004
524.000,0.004
525.000,0.003
526.000,0.003
527.000,0.003
528.000,0.003
529.000,0.003
530.000,0.003
531.000,0.003
532.000,0.003
533.000,0.003
534.000,0.003
535.000,0.003
536.000,0.003
537.000,0.003
538.000,0.003
539.000,0.003
540.000,0.003
541.000,0.003
542.000,0.003
543.000,0.003
544.000,0.003
545.000,0.003
546.000,0.003
547.000,0.003
548.000,0.003
549.000,0.003
550.000,0.003
551.000,0.003
552.000,0.003
553.000,0.003
554.000,0.003
555.000,0.003
556.000,0.003
557.000,0.003
558.000,0.003
559.000,0.003
560.000,0.003
561.000,0.003
562.000,0.003
563.000,0.003
564.000,0.003
565.000,0.003
566.000,0.003
567.000,0.003
568.000,0.003
569.000,0.003
570.000,0.003
571.000,0.003
572.000,0.003
573.000,0.003
574.000,0.003
575.000,0.002
576.000,0.002
577.000,0.002
578.000,0.002
579.000,0.003
580.000,0.003
581.000,0.003
582.000,0.002
583.000,0.002
584.000,0.002
585.000,0.002
586.000,0.002
587.000,0.002
588.000,0.002
589.000,0.002
590.000,0.002
591.000,0.002
592.000,0.002
593.000,0.002
594.000,0.002
595.000,0.002
596.000,0.002
597.000,0.002
598.000,0.002
599.000,0.002
600.000,0.002
601.000,0.002
602.000,0.002
603.000,0.002
604.000,0.002
605.000,0.002
606.000,0.002
607.000,0.002
608.000,0.002
609.000,0.002
610.000,0.002
611.000,0.002
612.000,0.002
613.000,0.002
614.000,0.002
615.000,0.002
616.000,0.002
617.000,0.002
618.000,0.002
619.000,0.002
620.000,0.002
621.000,0.002
622.000,0.002
623.000,0.002
624.000,0.002
625.000,0.002
626.000,0.002
627.000,0.002
628.000,0.002
629.000,0.002
630.000,0.002
631.000,0.002
632.000,0.002
633.000,0.002
634.000,0.002
635.000,0.002
636.000,0.002
637.000,0.002
638.000,0.002
639.000,0.002
640.000,0.001
641.000,0.001
642.000,0.001
643.000,0.001
644.000,0.001
645.000,0.001
646.000,0.001
647.000,0.001
648.000,0.001
649.000,0.001
650.000,0.001
651.000,0.001
652.000,0.001
653.000,0.001
654.000,0.001
655.000,0.001
656.000,0.001
657.000,0.001
658.000,0.001
659.000,0.001
660.000,0.001
661.000,0.001
662.000,0.001
663.000,0.001
664.000,0.001
665.000,0.001
666.000,0.001
667.000,0.001
668.000,0.001
669.000,0.001
670.000,0.001
671.000,0.001
672.000,0.001
673.000,0.001
674.000,0.001
675.000,0.001
676.000,0.001
677.000,0.001
678.000,0.001
679.000,0.001
680.000,0.001
681.000,0.001
682.000,0.001
683.000,0.001
684.000,0.001
685.000,0.001
686.000,0.001
687.000,0.001
688.000,0.001
689.000,0.001
690.000,0.001
691.000,0.001
692.000,0.001
693.000,0.001
694.000,0.001
695.000,0.001
696.000,0.001
697.000,0.001
698.000,0.001
699.000,0.001
700.000,0.001
701.000,0.001
702.000,0.001
703.000,0.001
704.000,0.001
705.000,0.001
706.000,0.000
707.000,0.000
708.000,0.000
709.000,0.000
710.000,0.000
711.000,0.000
712.000,0.000
713.000,0.000
714.000,0.000
715.000,0.000
716.000,0.000
717.000,0.000
718.000,0.000
719.000,0.000
720.000,0.000
721.000,0.000
722.000,0.000
723.000,-0.000
