[HEADER]
Format,J&M ASCII Table
Comment,TS-07/15-16-Blank
Date,7/17/2013 11:21:21 AM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.000
201.000,0.000
202.000,0.000
203.000,0.000
204.000,0.001
205.000,0.001
206.000,0.001
207.000,0.001
208.000,0.001
209.000,0.001
210.000,0.001
211.000,0.001
212.000,0.001
213.000,0.001
214.000,0.001
215.000,0.001
216.000,0.001
217.000,0.001
218.000,0.001
219.000,0.000
220.000,0.000
221.000,0.000
222.000,0.000
223.000,0.000
224.000,0.000
225.000,0.000
226.000,-0.000
227.000,-0.000
228.000,-0.000
229.000,-0.000
230.000,-0.000
231.000,-0.000
232.000,-0.001
233.000,-0.001
234.000,-0.001
235.000,-0.001
236.000,-0.001
237.000,-0.001
238.000,-0.001
239.000,-0.001
240.000,-0.001
241.000,-0.001
242.000,-0.001
243.000,-0.001
244.000,-0.001
245.000,-0.001
246.000,-0.001
247.000,-0.001
248.000,-0.001
249.000,-0.001
250.000,-0.001
251.000,-0.001
252.000,-0.001
253.000,-0.001
254.000,-0.001
255.000,-0.001
256.000,-0.001
257.000,-0.001
258.000,-0.001
259.000,-0.001
260.000,-0.001
261.000,-0.001
262.000,-0.001
263.000,-0.001
264.000,-0.001
265.000,-0.001
266.000,-0.001
267.000,-0.001
268.000,-0.001
269.000,-0.001
270.000,-0.001
271.000,-0.001
272.000,-0.000
273.000,-0.000
274.000,-0.000
275.000,-0.000
276.000,-0.000
277.000,-0.000
278.000,-0.000
279.000,-0.000
280.000,-0.000
281.000,-0.000
282.000,-0.000
283.000,-0.000
284.000,-0.000
285.000,-0.000
286.000,-0.000
287.000,-0.000
288.000,-0.000
289.000,-0.000
290.000,-0.000
291.000,-0.000
292.000,-0.000
293.000,-0.000
294.000,-0.000
295.000,-0.000
296.000,-0.000
297.000,-0.000
298.000,-0.000
299.000,-0.000
300.000,-0.000
301.000,-0.000
