[HEADER]
Format,J&M ASCII Table
Comment,SAT05-06/05-Blank
Date,6/6/2013 1:22:49 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.003
201.000,0.003
202.000,0.003
203.000,0.002
204.000,0.002
205.000,0.001
206.000,0.001
207.000,0.001
208.000,0.000
209.000,0.000
210.000,0.000
211.000,-0.000
212.000,-0.000
213.000,-0.000
214.000,-0.001
215.000,-0.001
216.000,-0.001
217.000,-0.001
218.000,-0.001
219.000,-0.001
220.000,-0.001
221.000,-0.001
222.000,-0.001
223.000,-0.001
224.000,-0.001
225.000,-0.001
226.000,-0.001
227.000,-0.001
228.000,-0.001
229.000,-0.001
230.000,-0.001
231.000,-0.001
232.000,-0.001
233.000,-0.001
234.000,-0.001
235.000,-0.001
236.000,-0.001
237.000,-0.001
238.000,-0.001
239.000,-0.001
240.000,-0.001
241.000,-0.001
242.000,-0.002
243.000,-0.002
244.000,-0.002
245.000,-0.002
246.000,-0.002
247.000,-0.002
248.000,-0.002
249.000,-0.002
250.000,-0.002
251.000,-0.002
252.000,-0.002
253.000,-0.002
254.000,-0.002
255.000,-0.002
256.000,-0.002
257.000,-0.002
258.000,-0.002
259.000,-0.002
260.000,-0.002
261.000,-0.002
262.000,-0.002
263.000,-0.002
264.000,-0.002
265.000,-0.002
266.000,-0.002
267.000,-0.002
268.000,-0.002
269.000,-0.002
270.000,-0.002
271.000,-0.002
272.000,-0.002
273.000,-0.002
274.000,-0.002
275.000,-0.002
276.000,-0.002
277.000,-0.002
278.000,-0.002
279.000,-0.002
280.000,-0.002
281.000,-0.002
282.000,-0.002
283.000,-0.002
284.000,-0.002
285.000,-0.002
286.000,-0.002
287.000,-0.002
288.000,-0.002
289.000,-0.002
290.000,-0.002
291.000,-0.002
292.000,-0.002
293.000,-0.002
294.000,-0.002
295.000,-0.002
296.000,-0.002
297.000,-0.002
298.000,-0.002
299.000,-0.002
300.000,-0.002
301.000,-0.002
302.000,-0.002
303.000,-0.002
304.000,-0.002
305.000,-0.002
306.000,-0.002
307.000,-0.002
308.000,-0.002
309.000,-0.002
310.000,-0.002
311.000,-0.002
312.000,-0.002
313.000,-0.002
314.000,-0.002
315.000,-0.002
316.000,-0.002
317.000,-0.002
318.000,-0.002
319.000,-0.002
320.000,-0.002
321.000,-0.002
322.000,-0.002
323.000,-0.002
324.000,-0.002
325.000,-0.002
326.000,-0.002
327.000,-0.002
328.000,-0.002
329.000,-0.002
330.000,-0.002
331.000,-0.002
332.000,-0.002
333.000,-0.002
334.000,-0.002
335.000,-0.002
336.000,-0.002
337.000,-0.002
338.000,-0.002
339.000,-0.002
340.000,-0.002
341.000,-0.002
342.000,-0.002
343.000,-0.002
344.000,-0.002
345.000,-0.002
346.000,-0.002
347.000,-0.002
348.000,-0.002
349.000,-0.002
350.000,-0.002
351.000,-0.002
352.000,-0.002
353.000,-0.002
354.000,-0.002
355.000,-0.002
356.000,-0.002
357.000,-0.002
358.000,-0.002
359.000,-0.002
360.000,-0.002
361.000,-0.002
362.000,-0.002
363.000,-0.002
364.000,-0.002
365.000,-0.002
366.000,-0.002
367.000,-0.002
368.000,-0.002
369.000,-0.002
370.000,-0.002
371.000,-0.002
372.000,-0.002
373.000,-0.002
374.000,-0.002
375.000,-0.002
376.000,-0.002
377.000,-0.002
378.000,-0.002
379.000,-0.002
380.000,-0.001
381.000,-0.001
382.000,-0.001
383.000,-0.001
384.000,-0.001
385.000,-0.001
386.000,-0.001
387.000,-0.001
388.000,-0.001
389.000,-0.001
390.000,-0.001
391.000,-0.001
392.000,-0.001
393.000,-0.001
394.000,-0.001
395.000,-0.001
396.000,-0.001
397.000,-0.001
398.000,-0.001
399.000,-0.001
400.000,-0.001
401.000,-0.001
402.000,-0.001
403.000,-0.001
404.000,-0.001
405.000,-0.001
406.000,-0.001
407.000,-0.001
408.000,-0.001
409.000,-0.001
410.000,-0.001
411.000,-0.001
412.000,-0.001
413.000,-0.001
414.000,-0.001
415.000,-0.001
416.000,-0.001
417.000,-0.001
418.000,-0.001
419.000,-0.001
420.000,-0.001
421.000,-0.001
422.000,-0.001
423.000,-0.001
424.000,-0.001
425.000,-0.001
426.000,-0.001
427.000,-0.001
428.000,-0.001
429.000,-0.001
430.000,-0.001
431.000,-0.001
432.000,-0.001
433.000,-0.001
434.000,-0.001
435.000,-0.001
436.000,-0.001
437.000,-0.001
438.000,-0.001
439.000,-0.001
440.000,-0.001
441.000,-0.001
442.000,-0.001
443.000,-0.001
444.000,-0.001
445.000,-0.001
446.000,-0.001
447.000,-0.001
448.000,-0.001
449.000,-0.001
450.000,-0.001
451.000,-0.001
452.000,-0.001
453.000,-0.001
454.000,-0.001
455.000,-0.001
456.000,-0.001
457.000,-0.001
458.000,-0.001
459.000,-0.001
460.000,-0.001
461.000,-0.001
462.000,-0.001
463.000,-0.001
464.000,-0.001
465.000,-0.001
466.000,-0.001
467.000,-0.001
468.000,-0.001
469.000,-0.001
470.000,-0.001
471.000,-0.001
472.000,-0.001
473.000,-0.001
474.000,-0.001
475.000,-0.001
476.000,-0.001
477.000,-0.001
478.000,-0.001
479.000,-0.001
480.000,-0.001
481.000,-0.001
482.000,-0.001
483.000,-0.001
484.000,-0.001
485.000,-0.001
486.000,-0.001
487.000,-0.001
488.000,-0.001
489.000,-0.001
490.000,-0.001
491.000,-0.001
492.000,-0.001
493.000,-0.001
494.000,-0.001
495.000,-0.001
496.000,-0.001
497.000,-0.001
498.000,-0.001
499.000,-0.001
500.000,-0.001
501.000,-0.001
502.000,-0.001
503.000,-0.001
504.000,-0.001
505.000,-0.001
506.000,-0.001
507.000,-0.001
508.000,-0.001
509.000,-0.001
510.000,-0.001
511.000,-0.001
512.000,-0.001
513.000,-0.001
514.000,-0.001
515.000,-0.001
516.000,-0.001
517.000,-0.001
518.000,-0.001
519.000,-0.001
520.000,-0.001
521.000,-0.001
522.000,-0.001
523.000,-0.001
524.000,-0.001
525.000,-0.001
526.000,-0.001
527.000,-0.001
528.000,-0.001
529.000,-0.001
530.000,-0.001
531.000,-0.001
532.000,-0.001
533.000,-0.001
534.000,-0.001
535.000,-0.001
536.000,-0.001
537.000,-0.001
538.000,-0.001
539.000,-0.001
540.000,-0.001
541.000,-0.001
542.000,-0.001
543.000,-0.001
544.000,-0.001
545.000,-0.001
546.000,-0.001
547.000,-0.001
548.000,-0.001
549.000,-0.001
550.000,-0.001
551.000,-0.001
552.000,-0.001
553.000,-0.001
554.000,-0.001
555.000,-0.001
556.000,-0.001
557.000,-0.001
558.000,-0.001
559.000,-0.001
560.000,-0.001
561.000,-0.001
562.000,-0.001
563.000,-0.001
564.000,-0.001
565.000,-0.001
566.000,-0.001
567.000,-0.001
568.000,-0.001
569.000,-0.001
570.000,-0.001
571.000,-0.001
572.000,-0.001
573.000,-0.001
574.000,-0.001
575.000,-0.001
576.000,-0.001
577.000,-0.001
578.000,-0.001
579.000,-0.001
580.000,-0.001
581.000,-0.001
582.000,-0.001
583.000,-0.001
584.000,-0.001
585.000,-0.001
586.000,-0.001
587.000,-0.001
588.000,-0.001
589.000,-0.001
590.000,-0.001
591.000,-0.001
592.000,-0.001
593.000,-0.001
594.000,-0.001
595.000,-0.001
596.000,-0.001
597.000,-0.001
598.000,-0.001
599.000,-0.001
600.000,-0.001
601.000,-0.001
602.000,-0.001
603.000,-0.001
604.000,-0.001
605.000,-0.001
606.000,-0.001
607.000,-0.001
608.000,-0.001
609.000,-0.001
610.000,-0.001
611.000,-0.001
612.000,-0.001
613.000,-0.001
614.000,-0.001
615.000,-0.001
616.000,-0.001
617.000,-0.001
618.000,-0.001
619.000,-0.001
620.000,-0.001
621.000,-0.001
622.000,-0.001
623.000,-0.001
624.000,-0.001
625.000,-0.001
626.000,-0.001
627.000,-0.001
628.000,-0.001
629.000,-0.001
630.000,-0.001
631.000,-0.001
632.000,-0.001
633.000,-0.001
634.000,-0.001
635.000,-0.001
636.000,-0.001
637.000,-0.001
638.000,-0.001
639.000,-0.001
640.000,-0.001
641.000,-0.001
642.000,-0.001
643.000,-0.001
644.000,-0.001
645.000,-0.001
646.000,-0.001
647.000,-0.001
648.000,-0.001
649.000,-0.001
650.000,-0.001
651.000,-0.001
652.000,-0.001
653.000,-0.001
654.000,-0.001
655.000,-0.001
656.000,-0.001
657.000,-0.001
658.000,-0.001
659.000,-0.001
660.000,-0.001
661.000,-0.001
662.000,-0.001
663.000,-0.001
664.000,-0.001
665.000,-0.001
666.000,-0.001
667.000,-0.001
668.000,-0.001
669.000,-0.001
670.000,-0.001
671.000,-0.001
672.000,-0.001
673.000,-0.001
674.000,-0.001
675.000,-0.001
676.000,-0.001
