Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
600	2.6792998135128	0.00155725486896062	1.58063759378174	0.00334973974224559	0.717130899429321	2.67774255864384	1.13112185742629	2.36733340538275	7.11424521216048E-4	99.8363225481523
595	2.80567404518556		1.65616663034518		0.719892263412476	2.8041167903166	1.18985009238251	2.35669754389121	6.94748488980446E-4	99.8401561351924
590	2.94335972456704		1.73846220374681		0.723316371440887	2.94180246969808	1.25503525150564	2.34399987264809	7.73938618832533E-4	99.8219527398657
585	3.06401811397749		1.81098655770506		0.726323843002319	3.06246085910853	1.31292972037524	2.33253982416765	7.68614009798769E-4	99.8231766009824
580	3.16082718219418		1.86940512070405		0.72833788394928	3.15926992732522	1.35911882750189	2.3244986850282	7.79833019250789E-4	99.8205979297274
575	3.26736336829192		1.93339005453041		0.73105776309967	3.26580611342296	1.41097095522122	2.31458068030247	7.59766752074448E-4	99.8252101759017
570	3.38420810293245		2.00349464165263		0.73466420173645	3.38265084806349	1.46943485771923	2.30200803410493	8.07406251159226E-4	99.8142605498189
565	3.50346061710438		2.07593212793545		0.738382756710052	3.50190336223542	1.5303590973028	2.28828865617709	8.22703778263988E-4	99.8107447684118
560	3.64050961313879		2.15775708122178		0.742404222488403	3.63895235826983	1.59944110727442	2.27513994839791	8.49934566040977E-4	99.8044867105384
555	3.79134371165718		2.24732389116662		0.747231364250183	3.78978645678822	1.67676786651098	2.26017359497353	8.87148046219211E-4	99.7959351094406
550	3.94894121224815		2.34058205973929		0.752462446689606	3.94738395737919	1.758679549987	2.24451575467991	9.18721625166667E-4	99.7886801236354
545	4.12529541076223		2.44479452392249		0.757837355136871	4.12373815589327	1.85021805795587	2.22878494681281	9.67993221683094E-4	99.7773595361266
540	4.30152368520454		2.5480855147207		0.763391971588135	4.29996643033558	1.94263086043166	2.21347581669742	0.00102532053895697	99.7641896915143
535	4.48499067055543		2.65513730506442		0.769757688045502	4.48343341568646	2.04123386547021	2.19643299649728	0.00104997229699405	99.7585269604212
530	4.71238633004719		2.7869395054655		0.776710212230682	4.71082907517823	2.16204259769807	2.17887893614763	0.00103387866831144	99.7622237756126
525	4.95367125462017		2.9265492925053		0.783903956413269	4.95211399975121	2.29150769479646	2.16107238522325	0.00114487995768856	99.7367288156612
520	5.21134105461596		3.07433027946363		0.791250944137573	5.209783799747	2.42991625148266	2.14401784282407	0.0011715948827716	99.730593860231
515	5.51006128169382		3.2452341337612		0.799825251102448	5.50850402682486	2.59294099949132	2.12442320434808	0.00124787822757564	99.7130778302428
510	5.80390919555872		3.41123806498265		0.809457659721375	5.80235194068976	2.75854130834089	2.10341310574013	0.00127501635374794	99.7068471695855
505	6.18932519499524		3.62917928847703		0.818737685680389	6.18776794012628	2.96860329340269	2.08440378472858	0.00131443929501402	99.6977967235327
500	6.62529127235477		3.87463558510366		0.828416645526886	6.62373401748581	3.20703763389002	2.06537458353785	0.00142956902412662	99.6713707394765
495	7.49439503841325		4.37011142174688		0.838614106178284	7.49283778354429	3.6620279448479	2.04608973399178	0.00151269426150743	99.6522951724541
490	8.17965900540163		4.75331257255943		0.848338663578033	8.17810175053267	4.02957712163746	2.02951860794996	0.00159354220523095	99.6337457005609
485	8.9851149836285		5.20125580929493		0.855348587036133	8.98355772875954	4.44602161213843	2.02058345920605	0.00168781837456388	99.6121196637922
480	10.0069032217331		5.76913974745547		0.866066455841064	10.0053459668642	4.99355731710401	2.00365097094084	0.00177747953196146	99.5915566209096
475	11.4862777128922		6.59954155566078		0.879869520664215	11.4847204580232	5.80378813128146	1.97883179024445	0.00191938482346071	99.5590204943596
470	14.2428202409401		8.13510984054058		0.895019471645355	14.2412629860711	7.27808362896331	1.95673252906818	0.00201646993848042	99.5367668874836
465	14.9898643151035		8.51760336440284		0.910354375839233	14.9883070602345	7.75098804421482	1.93372857431014	0.0021520566349297	99.5056963685714
460	13.8235863754277		7.83928515422264		0.922647356987	13.8220291205588	7.22980509969116	1.91181213462438	0.00233427350275562	99.4639555363235
455	12.2886982467952		6.99606685192791		0.929956316947937	12.2871409919263	6.50292145110699	1.88948014893131	0.00253052111382665	99.41902023339
450	10.915344238611		6.28578793386761		0.932973027229309	10.913786983742	5.86134538035417	1.8619934973159	0.00271444946304539	99.3769241317175
