[HEADER]
Format,J&M ASCII Table
Comment,NC1-B16
Date,7/31/2013 11:45:57 AM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.750
201.000,0.748
202.000,0.740
203.000,0.726
204.000,0.710
205.000,0.693
206.000,0.674
207.000,0.654
208.000,0.630
209.000,0.599
210.000,0.561
211.000,0.517
212.000,0.469
213.000,0.418
214.000,0.369
215.000,0.322
216.000,0.280
217.000,0.242
218.000,0.208
219.000,0.179
220.000,0.153
221.000,0.131
222.000,0.112
223.000,0.096
224.000,0.082
225.000,0.071
226.000,0.062
227.000,0.054
228.000,0.047
229.000,0.042
230.000,0.037
231.000,0.033
232.000,0.030
233.000,0.028
234.000,0.026
235.000,0.024
236.000,0.022
237.000,0.021
238.000,0.020
239.000,0.019
240.000,0.019
241.000,0.018
242.000,0.017
243.000,0.017
244.000,0.016
245.000,0.016
246.000,0.016
247.000,0.015
248.000,0.015
249.000,0.015
250.000,0.015
251.000,0.015
252.000,0.014
253.000,0.014
254.000,0.014
255.000,0.014
256.000,0.014
257.000,0.014
258.000,0.014
259.000,0.014
260.000,0.014
261.000,0.013
262.000,0.013
263.000,0.013
264.000,0.013
265.000,0.013
266.000,0.013
267.000,0.013
268.000,0.013
269.000,0.012
270.000,0.012
271.000,0.012
272.000,0.012
273.000,0.012
274.000,0.012
275.000,0.012
276.000,0.011
277.000,0.011
278.000,0.011
279.000,0.011
280.000,0.011
281.000,0.010
282.000,0.010
283.000,0.010
284.000,0.010
285.000,0.010
286.000,0.010
287.000,0.009
288.000,0.009
289.000,0.009
290.000,0.009
291.000,0.009
292.000,0.009
293.000,0.008
294.000,0.008
295.000,0.008
296.000,0.008
297.000,0.008
298.000,0.008
299.000,0.008
300.000,0.007
301.000,0.007
302.000,0.007
303.000,0.007
304.000,0.007
305.000,0.007
306.000,0.007
307.000,0.007
308.000,0.007
309.000,0.006
310.000,0.006
311.000,0.006
312.000,0.006
313.000,0.006
314.000,0.006
315.000,0.006
316.000,0.006
317.000,0.006
318.000,0.006
319.000,0.005
320.000,0.005
321.000,0.005
322.000,0.005
323.000,0.005
324.000,0.005
325.000,0.005
326.000,0.005
327.000,0.005
328.000,0.005
329.000,0.005
330.000,0.005
331.000,0.004
332.000,0.004
333.000,0.004
334.000,0.004
335.000,0.004
336.000,0.004
337.000,0.004
338.000,0.004
339.000,0.004
340.000,0.004
341.000,0.004
342.000,0.004
343.000,0.004
344.000,0.004
345.000,0.004
346.000,0.003
347.000,0.003
348.000,0.003
349.000,0.003
350.000,0.003
351.000,0.003
352.000,0.003
353.000,0.003
354.000,0.003
355.000,0.003
356.000,0.003
357.000,0.003
358.000,0.003
359.000,0.003
360.000,0.003
361.000,0.003
362.000,0.003
363.000,0.003
364.000,0.003
365.000,0.002
366.000,0.002
367.000,0.002
368.000,0.002
369.000,0.002
370.000,0.002
371.000,0.002
372.000,0.002
373.000,0.002
374.000,0.002
375.000,0.002
376.000,0.002
377.000,0.002
378.000,0.002
379.000,0.002
380.000,0.002
381.000,0.002
382.000,0.002
383.000,0.002
384.000,0.002
385.000,0.002
386.000,0.002
387.000,0.002
388.000,0.002
389.000,0.002
390.000,0.002
391.000,0.002
392.000,0.002
393.000,0.002
394.000,0.002
395.000,0.002
396.000,0.002
397.000,0.002
398.000,0.002
399.000,0.002
400.000,0.002
401.000,0.002
402.000,0.002
403.000,0.002
404.000,0.002
405.000,0.002
406.000,0.002
407.000,0.002
408.000,0.002
409.000,0.001
410.000,0.001
411.000,0.001
412.000,0.001
413.000,0.001
414.000,0.001
415.000,0.001
416.000,0.001
417.000,0.001
418.000,0.001
419.000,0.001
420.000,0.001
421.000,0.001
422.000,0.001
423.000,0.001
424.000,0.001
425.000,0.001
426.000,0.001
427.000,0.001
428.000,0.001
429.000,0.001
430.000,0.001
431.000,0.001
432.000,0.001
433.000,0.000
434.000,0.000
435.000,0.000
436.000,0.000
437.000,0.000
438.000,0.000
439.000,0.000
440.000,0.000
441.000,0.000
442.000,0.000
443.000,0.000
444.000,0.000
445.000,0.000
446.000,0.000
447.000,0.000
448.000,0.000
449.000,0.000
450.000,0.000
451.000,0.000
452.000,0.000
453.000,0.000
454.000,0.000
455.000,0.000
456.000,0.000
457.000,0.000
458.000,0.000
459.000,0.000
460.000,0.000
461.000,0.000
462.000,0.000
463.000,0.000
464.000,0.000
465.000,0.000
466.000,0.000
467.000,0.000
468.000,0.000
469.000,-0.000
470.000,-0.000
471.000,-0.000
472.000,-0.000
473.000,-0.000
474.000,-0.000
475.000,-0.000
476.000,-0.000
477.000,-0.000
478.000,-0.000
479.000,-0.000
480.000,-0.000
481.000,-0.000
482.000,-0.000
483.000,-0.000
484.000,-0.000
485.000,-0.000
486.000,-0.000
487.000,-0.000
488.000,-0.000
489.000,-0.000
490.000,-0.000
491.000,-0.000
492.000,-0.000
493.000,-0.000
494.000,-0.000
495.000,-0.000
496.000,-0.000
497.000,-0.000
498.000,-0.000
499.000,-0.000
500.000,-0.000
501.000,-0.000
502.000,-0.000
503.000,-0.000
504.000,-0.000
505.000,-0.000
506.000,-0.000
507.000,-0.000
508.000,-0.000
509.000,-0.000
510.000,-0.000
511.000,-0.000
512.000,-0.000
513.000,-0.001
514.000,-0.001
515.000,-0.001
516.000,-0.001
517.000,-0.001
518.000,-0.001
519.000,-0.001
520.000,-0.001
521.000,-0.001
522.000,-0.001
523.000,-0.001
524.000,-0.001
525.000,-0.001
526.000,-0.001
527.000,-0.001
528.000,-0.001
529.000,-0.001
530.000,-0.001
531.000,-0.001
532.000,-0.001
533.000,-0.001
534.000,-0.001
535.000,-0.001
536.000,-0.001
537.000,-0.001
538.000,-0.001
539.000,-0.001
540.000,-0.001
541.000,-0.001
542.000,-0.001
543.000,-0.001
544.000,-0.001
545.000,-0.001
546.000,-0.001
547.000,-0.001
548.000,-0.001
549.000,-0.001
550.000,-0.001
551.000,-0.001
552.000,-0.001
553.000,-0.001
554.000,-0.001
555.000,-0.001
556.000,-0.001
557.000,-0.001
558.000,-0.001
559.000,-0.001
560.000,-0.001
561.000,-0.001
562.000,-0.001
563.000,-0.001
564.000,-0.001
565.000,-0.001
566.000,-0.001
567.000,-0.001
568.000,-0.001
569.000,-0.001
570.000,-0.001
571.000,-0.001
572.000,-0.001
573.000,-0.001
574.000,-0.001
575.000,-0.001
576.000,-0.001
577.000,-0.001
578.000,-0.001
579.000,-0.001
580.000,-0.001
581.000,-0.001
582.000,-0.001
583.000,-0.001
584.000,-0.001
585.000,-0.001
586.000,-0.001
587.000,-0.001
588.000,-0.001
589.000,-0.001
590.000,-0.001
591.000,-0.001
592.000,-0.001
593.000,-0.001
594.000,-0.001
595.000,-0.001
596.000,-0.001
597.000,-0.001
598.000,-0.001
599.000,-0.001
600.000,-0.001
601.000,-0.001
602.000,-0.001
603.000,-0.001
604.000,-0.001
605.000,-0.001
606.000,-0.001
607.000,-0.001
608.000,-0.001
609.000,-0.001
610.000,-0.001
611.000,-0.001
612.000,-0.001
613.000,-0.001
614.000,-0.001
615.000,-0.001
616.000,-0.001
617.000,-0.001
618.000,-0.001
619.000,-0.001
620.000,-0.001
621.000,-0.001
622.000,-0.001
623.000,-0.001
624.000,-0.001
625.000,-0.001
626.000,-0.001
627.000,-0.001
628.000,-0.001
629.000,-0.001
630.000,-0.001
631.000,-0.001
632.000,-0.001
633.000,-0.001
634.000,-0.001
635.000,-0.001
636.000,-0.001
637.000,-0.001
638.000,-0.001
639.000,-0.001
640.000,-0.001
641.000,-0.001
642.000,-0.001
643.000,-0.001
644.000,-0.001
645.000,-0.001
646.000,-0.001
647.000,-0.001
648.000,-0.001
649.000,-0.001
650.000,-0.001
651.000,-0.001
652.000,-0.001
653.000,-0.001
654.000,-0.001
655.000,-0.001
656.000,-0.001
657.000,-0.001
658.000,-0.001
659.000,-0.001
660.000,-0.001
661.000,-0.001
662.000,-0.001
663.000,-0.001
664.000,-0.001
665.000,-0.001
666.000,-0.001
667.000,-0.001
668.000,-0.001
669.000,-0.001
670.000,-0.001
671.000,-0.001
672.000,-0.001
673.000,-0.001
674.000,-0.001
675.000,-0.001
676.000,-0.001
677.000,-0.001
678.000,-0.001
679.000,-0.001
680.000,-0.001
681.000,-0.001
682.000,-0.001
683.000,-0.001
684.000,-0.001
685.000,-0.001
686.000,-0.001
687.000,-0.001
688.000,-0.001
689.000,-0.001
690.000,-0.001
691.000,-0.001
692.000,-0.001
693.000,-0.001
694.000,-0.001
695.000,-0.001
696.000,-0.001
697.000,-0.001
698.000,-0.001
699.000,-0.001
700.000,-0.001
701.000,-0.001
702.000,-0.001
703.000,-0.001
704.000,-0.001
705.000,-0.001
706.000,-0.001
707.000,-0.001
708.000,-0.001
709.000,-0.001
710.000,-0.001
711.000,-0.001
712.000,-0.001
713.000,-0.001
714.000,-0.001
715.000,-0.001
716.000,-0.001
717.000,-0.001
718.000,-0.001
719.000,-0.001
720.000,-0.001
721.000,-0.001
722.000,-0.001
723.000,-0.001
