[HEADER]
Format,J&M ASCII Table
Comment,NC1-S10
Date,7/31/2013 11:43:01 AM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.406
201.000,0.364
202.000,0.324
203.000,0.287
204.000,0.254
205.000,0.224
206.000,0.199
207.000,0.178
208.000,0.161
209.000,0.146
210.000,0.134
211.000,0.124
212.000,0.116
213.000,0.109
214.000,0.103
215.000,0.098
216.000,0.094
217.000,0.090
218.000,0.086
219.000,0.083
220.000,0.079
221.000,0.076
222.000,0.073
223.000,0.071
224.000,0.068
225.000,0.066
226.000,0.064
227.000,0.062
228.000,0.060
229.000,0.058
230.000,0.057
231.000,0.055
232.000,0.054
233.000,0.053
234.000,0.052
235.000,0.051
236.000,0.051
237.000,0.050
238.000,0.049
239.000,0.049
240.000,0.048
241.000,0.047
242.000,0.047
243.000,0.046
244.000,0.046
245.000,0.045
246.000,0.045
247.000,0.045
248.000,0.044
249.000,0.044
250.000,0.043
251.000,0.043
252.000,0.043
253.000,0.042
254.000,0.042
255.000,0.042
256.000,0.041
257.000,0.041
258.000,0.041
259.000,0.041
260.000,0.040
261.000,0.040
262.000,0.040
263.000,0.039
264.000,0.039
265.000,0.039
266.000,0.038
267.000,0.038
268.000,0.038
269.000,0.037
270.000,0.037
271.000,0.036
272.000,0.036
273.000,0.035
274.000,0.035
275.000,0.034
276.000,0.034
277.000,0.033
278.000,0.033
279.000,0.032
280.000,0.031
281.000,0.031
282.000,0.030
283.000,0.030
284.000,0.029
285.000,0.029
286.000,0.028
287.000,0.028
288.000,0.027
289.000,0.027
290.000,0.026
291.000,0.025
292.000,0.025
293.000,0.024
294.000,0.024
295.000,0.023
296.000,0.023
297.000,0.023
298.000,0.022
299.000,0.022
300.000,0.021
301.000,0.021
302.000,0.021
303.000,0.020
304.000,0.020
305.000,0.019
306.000,0.019
307.000,0.019
308.000,0.018
309.000,0.018
310.000,0.018
311.000,0.017
312.000,0.017
313.000,0.017
314.000,0.017
315.000,0.016
316.000,0.016
317.000,0.016
318.000,0.015
319.000,0.015
320.000,0.015
321.000,0.015
322.000,0.014
323.000,0.014
324.000,0.014
325.000,0.014
326.000,0.013
327.000,0.013
328.000,0.013
329.000,0.013
330.000,0.012
331.000,0.012
332.000,0.012
333.000,0.012
334.000,0.012
335.000,0.011
336.000,0.011
337.000,0.011
338.000,0.011
339.000,0.011
340.000,0.010
341.000,0.010
342.000,0.010
343.000,0.010
344.000,0.010
345.000,0.010
346.000,0.009
347.000,0.009
348.000,0.009
349.000,0.009
350.000,0.009
351.000,0.009
352.000,0.009
353.000,0.008
354.000,0.008
355.000,0.008
356.000,0.008
357.000,0.008
358.000,0.008
359.000,0.008
360.000,0.008
361.000,0.007
362.000,0.007
363.000,0.007
364.000,0.007
365.000,0.007
366.000,0.007
367.000,0.007
368.000,0.007
369.000,0.006
370.000,0.006
371.000,0.006
372.000,0.006
373.000,0.006
374.000,0.006
375.000,0.006
376.000,0.006
377.000,0.006
378.000,0.006
379.000,0.006
380.000,0.006
381.000,0.005
382.000,0.005
383.000,0.005
384.000,0.005
385.000,0.005
386.000,0.005
387.000,0.005
388.000,0.005
389.000,0.005
390.000,0.005
391.000,0.005
392.000,0.005
393.000,0.005
394.000,0.005
395.000,0.005
396.000,0.005
397.000,0.005
398.000,0.005
399.000,0.005
400.000,0.005
401.000,0.004
402.000,0.004
403.000,0.004
404.000,0.004
405.000,0.004
406.000,0.004
407.000,0.004
408.000,0.004
409.000,0.003
410.000,0.003
411.000,0.003
412.000,0.003
413.000,0.003
414.000,0.003
415.000,0.003
416.000,0.003
417.000,0.003
418.000,0.003
419.000,0.003
420.000,0.003
421.000,0.003
422.000,0.003
423.000,0.002
424.000,0.002
425.000,0.002
426.000,0.002
427.000,0.002
428.000,0.002
429.000,0.002
430.000,0.002
431.000,0.002
432.000,0.002
433.000,0.002
434.000,0.002
435.000,0.002
436.000,0.002
437.000,0.002
438.000,0.002
439.000,0.002
440.000,0.002
441.000,0.002
442.000,0.002
443.000,0.002
444.000,0.002
445.000,0.001
446.000,0.001
447.000,0.001
448.000,0.001
449.000,0.001
450.000,0.001
451.000,0.001
452.000,0.001
453.000,0.001
454.000,0.001
455.000,0.001
456.000,0.001
457.000,0.001
458.000,0.001
459.000,0.001
460.000,0.001
461.000,0.001
462.000,0.001
463.000,0.001
464.000,0.001
465.000,0.001
466.000,0.001
467.000,0.001
468.000,0.001
469.000,0.001
470.000,0.001
471.000,0.001
472.000,0.001
473.000,0.001
474.000,0.001
475.000,0.001
476.000,0.001
477.000,0.001
478.000,0.001
479.000,0.001
480.000,0.001
481.000,0.001
482.000,0.001
483.000,0.000
484.000,0.000
485.000,0.000
486.000,0.000
487.000,0.000
488.000,0.000
489.000,0.000
490.000,0.000
491.000,0.000
492.000,0.000
493.000,0.000
494.000,0.000
495.000,0.000
496.000,0.000
497.000,0.000
498.000,0.000
499.000,0.000
500.000,0.000
501.000,0.000
502.000,0.000
503.000,0.000
504.000,0.000
505.000,0.000
506.000,0.000
507.000,0.000
508.000,0.000
509.000,0.000
510.000,0.000
511.000,0.000
512.000,0.000
513.000,0.000
514.000,0.000
515.000,0.000
516.000,0.000
517.000,0.000
