[HEADER]
Format,J&M ASCII Table
Comment,SAT05-04/10-SUR2
Date,4/11/2013 12:04:41 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.286
201.000,0.280
202.000,0.274
203.000,0.267
204.000,0.260
205.000,0.252
206.000,0.245
207.000,0.238
208.000,0.231
209.000,0.224
210.000,0.217
211.000,0.210
212.000,0.203
213.000,0.196
214.000,0.189
215.000,0.181
216.000,0.173
217.000,0.165
218.000,0.157
219.000,0.149
220.000,0.140
221.000,0.132
222.000,0.124
223.000,0.116
224.000,0.109
225.000,0.102
226.000,0.096
227.000,0.090
228.000,0.085
229.000,0.080
230.000,0.076
231.000,0.073
232.000,0.070
233.000,0.067
234.000,0.065
235.000,0.063
236.000,0.062
237.000,0.060
238.000,0.059
239.000,0.058
240.000,0.057
241.000,0.056
242.000,0.055
243.000,0.054
244.000,0.053
245.000,0.052
246.000,0.051
247.000,0.050
248.000,0.050
249.000,0.049
250.000,0.048
251.000,0.048
252.000,0.047
253.000,0.047
254.000,0.046
255.000,0.046
256.000,0.045
257.000,0.045
258.000,0.045
259.000,0.044
260.000,0.044
261.000,0.043
262.000,0.043
263.000,0.043
264.000,0.042
265.000,0.042
266.000,0.042
267.000,0.041
268.000,0.041
269.000,0.040
270.000,0.040
271.000,0.039
272.000,0.039
273.000,0.038
274.000,0.038
275.000,0.037
276.000,0.037
277.000,0.036
278.000,0.036
279.000,0.035
280.000,0.035
281.000,0.034
282.000,0.034
283.000,0.033
284.000,0.032
285.000,0.032
286.000,0.031
287.000,0.031
288.000,0.030
289.000,0.030
290.000,0.029
291.000,0.029
292.000,0.028
293.000,0.028
294.000,0.027
295.000,0.027
296.000,0.026
297.000,0.026
298.000,0.025
299.000,0.025
300.000,0.025
301.000,0.024
302.000,0.024
303.000,0.023
304.000,0.023
305.000,0.023
306.000,0.022
307.000,0.022
308.000,0.022
309.000,0.021
310.000,0.021
311.000,0.020
312.000,0.020
313.000,0.020
314.000,0.019
315.000,0.019
316.000,0.019
317.000,0.018
318.000,0.018
319.000,0.018
320.000,0.018
321.000,0.017
322.000,0.017
323.000,0.017
324.000,0.016
325.000,0.016
326.000,0.016
327.000,0.016
328.000,0.015
329.000,0.015
330.000,0.015
331.000,0.015
332.000,0.014
333.000,0.014
334.000,0.014
335.000,0.014
336.000,0.013
337.000,0.013
338.000,0.013
339.000,0.013
340.000,0.012
341.000,0.012
342.000,0.012
343.000,0.012
344.000,0.012
345.000,0.012
346.000,0.011
347.000,0.011
348.000,0.011
349.000,0.011
350.000,0.011
351.000,0.010
352.000,0.010
353.000,0.010
354.000,0.010
355.000,0.010
356.000,0.010
357.000,0.010
358.000,0.009
359.000,0.009
360.000,0.009
361.000,0.009
362.000,0.009
363.000,0.009
364.000,0.009
365.000,0.008
366.000,0.008
367.000,0.008
368.000,0.008
369.000,0.008
370.000,0.008
371.000,0.008
372.000,0.007
373.000,0.007
374.000,0.007
375.000,0.007
376.000,0.007
377.000,0.007
378.000,0.007
379.000,0.007
380.000,0.007
381.000,0.007
382.000,0.007
383.000,0.007
384.000,0.006
385.000,0.006
386.000,0.006
387.000,0.006
388.000,0.006
389.000,0.006
390.000,0.006
391.000,0.006
392.000,0.006
393.000,0.006
394.000,0.006
395.000,0.006
396.000,0.006
397.000,0.005
398.000,0.005
399.000,0.005
400.000,0.005
401.000,0.005
402.000,0.005
403.000,0.005
404.000,0.005
405.000,0.005
406.000,0.005
407.000,0.005
408.000,0.004
409.000,0.004
410.000,0.004
411.000,0.004
412.000,0.004
413.000,0.004
414.000,0.004
415.000,0.004
416.000,0.004
417.000,0.004
418.000,0.004
419.000,0.004
420.000,0.004
421.000,0.003
422.000,0.003
423.000,0.003
424.000,0.003
425.000,0.003
426.000,0.003
427.000,0.003
428.000,0.003
429.000,0.003
430.000,0.003
431.000,0.003
432.000,0.003
433.000,0.003
434.000,0.003
435.000,0.003
436.000,0.003
437.000,0.003
438.000,0.003
439.000,0.003
440.000,0.003
441.000,0.002
442.000,0.002
443.000,0.002
444.000,0.002
445.000,0.002
446.000,0.002
447.000,0.002
448.000,0.002
449.000,0.002
450.000,0.002
451.000,0.002
452.000,0.002
453.000,0.002
454.000,0.002
455.000,0.002
456.000,0.002
457.000,0.002
458.000,0.002
459.000,0.002
460.000,0.002
461.000,0.002
462.000,0.002
463.000,0.002
464.000,0.002
465.000,0.002
466.000,0.002
467.000,0.002
468.000,0.002
469.000,0.002
470.000,0.002
471.000,0.001
472.000,0.001
473.000,0.001
474.000,0.001
475.000,0.001
476.000,0.001
477.000,0.001
478.000,0.001
479.000,0.001
480.000,0.001
481.000,0.001
482.000,0.001
483.000,0.001
484.000,0.001
485.000,0.001
486.000,0.001
487.000,0.001
488.000,0.001
489.000,0.001
490.000,0.001
491.000,0.001
492.000,0.001
493.000,0.001
494.000,0.001
495.000,0.001
496.000,0.001
497.000,0.001
498.000,0.001
499.000,0.001
500.000,0.001
501.000,0.001
502.000,0.001
503.000,0.001
504.000,0.001
505.000,0.001
506.000,0.001
507.000,0.001
508.000,0.001
509.000,0.001
510.000,0.001
511.000,0.001
512.000,0.001
513.000,0.001
514.000,0.001
515.000,0.001
516.000,0.001
517.000,0.001
518.000,0.001
519.000,0.001
520.000,0.001
521.000,0.001
522.000,0.001
523.000,0.001
524.000,0.001
525.000,0.001
526.000,0.001
527.000,0.001
528.000,0.001
529.000,0.001
530.000,0.001
531.000,0.001
532.000,0.001
533.000,0.000
534.000,0.000
535.000,0.000
536.000,0.000
537.000,0.000
538.000,0.000
539.000,0.000
540.000,0.000
541.000,0.000
542.000,0.000
543.000,0.000
544.000,0.000
545.000,0.000
546.000,0.000
547.000,0.000
548.000,0.000
549.000,0.000
550.000,0.000
551.000,0.000
552.000,0.000
553.000,0.000
554.000,0.000
555.000,0.000
556.000,0.000
557.000,0.000
558.000,0.000
559.000,0.000
560.000,0.000
561.000,0.000
562.000,0.000
563.000,0.000
564.000,0.000
565.000,0.000
566.000,0.000
567.000,0.000
568.000,0.000
569.000,0.000
570.000,0.000
571.000,0.000
572.000,0.000
573.000,0.000
574.000,0.000
575.000,0.000
576.000,0.000
577.000,0.000
578.000,0.000
579.000,0.000
580.000,0.000
581.000,0.000
582.000,0.000
583.000,0.000
584.000,0.000
585.000,0.000
586.000,0.000
587.000,0.000
588.000,0.000
589.000,0.000
590.000,0.000
591.000,0.000
592.000,0.000
593.000,0.000
594.000,0.000
595.000,0.000
596.000,0.000
597.000,0.000
598.000,0.000
599.000,0.000
600.000,0.000
601.000,0.000
602.000,0.000
603.000,0.000
604.000,0.000
605.000,0.000
606.000,-0.000
607.000,-0.000
608.000,-0.000
609.000,-0.000
610.000,-0.000
611.000,-0.000
612.000,-0.000
613.000,-0.000
614.000,-0.000
615.000,-0.000
616.000,-0.000
617.000,-0.000
618.000,-0.000
619.000,-0.000
620.000,-0.000
621.000,-0.000
622.000,-0.000
623.000,-0.000
624.000,-0.000
625.000,-0.000
626.000,-0.000
627.000,-0.000
628.000,-0.000
629.000,-0.000
630.000,-0.000
631.000,-0.000
632.000,-0.000
633.000,-0.000
634.000,-0.000
635.000,-0.000
636.000,-0.000
637.000,-0.000
638.000,-0.000
639.000,-0.000
640.000,-0.000
641.000,-0.000
642.000,-0.000
643.000,-0.000
644.000,-0.000
645.000,-0.000
646.000,-0.000
647.000,-0.000
648.000,-0.000
649.000,-0.000
650.000,-0.000
651.000,-0.000
652.000,-0.000
653.000,-0.000
654.000,-0.000
655.000,-0.000
656.000,-0.000
657.000,-0.000
658.000,-0.000
659.000,-0.000
660.000,-0.000
661.000,-0.000
662.000,-0.000
663.000,-0.000
664.000,-0.000
665.000,-0.000
666.000,-0.000
667.000,-0.000
668.000,-0.000
669.000,-0.000
670.000,-0.000
671.000,-0.000
672.000,-0.000
673.000,-0.000
674.000,-0.000
675.000,-0.000
676.000,-0.000
677.000,-0.000
678.000,-0.000
679.000,-0.001
680.000,-0.001
681.000,-0.001
682.000,-0.001
683.000,-0.001
684.000,-0.001
685.000,-0.001
686.000,-0.001
687.000,-0.001
688.000,-0.001
689.000,-0.001
690.000,-0.001
691.000,-0.001
692.000,-0.001
693.000,-0.001
694.000,-0.001
695.000,-0.001
696.000,-0.001
697.000,-0.001
698.000,-0.001
699.000,-0.001
700.000,-0.001
701.000,-0.001
702.000,-0.001
703.000,-0.001
704.000,-0.001
705.000,-0.001
706.000,-0.001
707.000,-0.001
708.000,-0.001
709.000,-0.001
710.000,-0.001
711.000,-0.001
712.000,-0.001
713.000,-0.001
714.000,-0.001
715.000,-0.001
716.000,-0.001
717.000,-0.001
718.000,-0.001
719.000,-0.001
720.000,-0.001
721.000,-0.001
722.000,-0.001
723.000,-0.001
