[HEADER]
Format,J&M ASCII Table
Comment,SAT08-06/27-1000
Date,6/28/2013 10:57:20 AM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.169
201.000,0.165
202.000,0.160
203.000,0.155
204.000,0.150
205.000,0.145
206.000,0.140
207.000,0.136
208.000,0.133
209.000,0.129
210.000,0.126
211.000,0.124
212.000,0.121
213.000,0.118
214.000,0.115
215.000,0.112
216.000,0.109
217.000,0.106
218.000,0.103
219.000,0.099
220.000,0.096
221.000,0.093
222.000,0.089
223.000,0.086
224.000,0.083
225.000,0.080
226.000,0.078
227.000,0.075
228.000,0.073
229.000,0.071
230.000,0.069
231.000,0.067
232.000,0.066
233.000,0.064
234.000,0.063
235.000,0.062
236.000,0.061
237.000,0.060
238.000,0.059
239.000,0.059
240.000,0.058
241.000,0.057
242.000,0.056
243.000,0.056
244.000,0.055
245.000,0.054
246.000,0.054
247.000,0.053
248.000,0.052
249.000,0.052
250.000,0.051
251.000,0.051
252.000,0.050
253.000,0.050
254.000,0.050
255.000,0.049
256.000,0.049
257.000,0.048
258.000,0.048
259.000,0.048
260.000,0.048
261.000,0.047
262.000,0.047
263.000,0.046
264.000,0.046
265.000,0.046
266.000,0.045
267.000,0.045
268.000,0.044
269.000,0.044
270.000,0.043
271.000,0.042
272.000,0.042
273.000,0.041
274.000,0.041
275.000,0.040
276.000,0.039
277.000,0.039
278.000,0.038
279.000,0.038
280.000,0.037
281.000,0.036
282.000,0.036
283.000,0.035
284.000,0.035
285.000,0.034
286.000,0.033
287.000,0.033
288.000,0.032
289.000,0.031
290.000,0.031
291.000,0.030
292.000,0.030
293.000,0.029
294.000,0.029
295.000,0.028
296.000,0.028
297.000,0.027
298.000,0.026
299.000,0.026
300.000,0.026
301.000,0.025
302.000,0.025
303.000,0.024
304.000,0.024
305.000,0.023
306.000,0.023
307.000,0.023
308.000,0.022
309.000,0.022
310.000,0.021
311.000,0.021
312.000,0.021
313.000,0.020
314.000,0.020
315.000,0.020
316.000,0.019
317.000,0.019
318.000,0.019
319.000,0.018
320.000,0.018
321.000,0.018
322.000,0.017
323.000,0.017
324.000,0.017
325.000,0.016
326.000,0.016
327.000,0.016
328.000,0.015
329.000,0.015
330.000,0.015
331.000,0.015
332.000,0.014
333.000,0.014
334.000,0.014
335.000,0.014
336.000,0.013
337.000,0.013
338.000,0.013
339.000,0.013
340.000,0.012
341.000,0.012
342.000,0.012
343.000,0.012
344.000,0.012
345.000,0.011
346.000,0.011
347.000,0.011
348.000,0.011
349.000,0.011
350.000,0.010
351.000,0.010
352.000,0.010
353.000,0.010
354.000,0.010
355.000,0.010
356.000,0.009
357.000,0.009
358.000,0.009
359.000,0.009
360.000,0.009
361.000,0.009
362.000,0.009
363.000,0.008
364.000,0.008
365.000,0.008
366.000,0.008
367.000,0.008
368.000,0.008
369.000,0.008
370.000,0.007
371.000,0.007
372.000,0.007
373.000,0.007
374.000,0.007
375.000,0.007
376.000,0.007
377.000,0.007
378.000,0.006
379.000,0.006
380.000,0.006
381.000,0.006
382.000,0.006
383.000,0.006
384.000,0.006
385.000,0.006
386.000,0.006
387.000,0.006
388.000,0.006
389.000,0.006
390.000,0.005
391.000,0.005
392.000,0.005
393.000,0.005
394.000,0.005
395.000,0.005
396.000,0.005
397.000,0.005
398.000,0.005
399.000,0.005
400.000,0.005
401.000,0.005
402.000,0.005
403.000,0.004
404.000,0.004
405.000,0.004
406.000,0.004
407.000,0.004
408.000,0.004
409.000,0.004
410.000,0.004
411.000,0.004
412.000,0.004
413.000,0.003
414.000,0.003
415.000,0.003
416.000,0.003
417.000,0.003
418.000,0.003
419.000,0.003
420.000,0.003
421.000,0.003
422.000,0.003
423.000,0.003
424.000,0.003
425.000,0.003
426.000,0.003
427.000,0.003
428.000,0.003
429.000,0.003
430.000,0.002
431.000,0.002
432.000,0.002
433.000,0.002
434.000,0.002
435.000,0.002
436.000,0.002
437.000,0.002
438.000,0.002
439.000,0.002
440.000,0.002
441.000,0.002
442.000,0.002
443.000,0.002
444.000,0.002
445.000,0.002
446.000,0.002
447.000,0.002
448.000,0.002
449.000,0.002
450.000,0.002
451.000,0.002
452.000,0.002
453.000,0.002
454.000,0.002
455.000,0.002
456.000,0.002
457.000,0.001
458.000,0.001
459.000,0.001
460.000,0.001
461.000,0.001
462.000,0.001
463.000,0.001
464.000,0.001
465.000,0.001
466.000,0.001
467.000,0.001
468.000,0.001
469.000,0.001
470.000,0.001
471.000,0.001
472.000,0.001
473.000,0.001
474.000,0.001
475.000,0.001
476.000,0.001
477.000,0.001
478.000,0.001
479.000,0.001
480.000,0.001
481.000,0.001
482.000,0.001
483.000,0.001
484.000,0.001
485.000,0.001
486.000,0.001
487.000,0.001
488.000,0.001
489.000,0.001
490.000,0.001
491.000,0.001
492.000,0.001
493.000,0.001
494.000,0.001
495.000,0.001
496.000,0.001
497.000,0.001
498.000,0.001
499.000,0.001
500.000,0.001
501.000,0.001
502.000,0.001
503.000,0.001
504.000,0.001
505.000,0.001
506.000,0.001
507.000,0.001
508.000,0.001
509.000,0.000
510.000,0.000
511.000,0.000
512.000,0.000
513.000,0.000
514.000,0.000
515.000,0.000
516.000,0.000
517.000,0.000
518.000,0.000
