[HEADER]
Format,J&M ASCII Table
Comment,SC02 Surface
Date,6/21/2013 3:07:30 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.179
201.000,0.167
202.000,0.156
203.000,0.146
204.000,0.138
205.000,0.130
206.000,0.124
207.000,0.118
208.000,0.114
209.000,0.110
210.000,0.107
211.000,0.104
212.000,0.102
213.000,0.100
214.000,0.098
215.000,0.096
216.000,0.094
217.000,0.092
218.000,0.091
219.000,0.089
220.000,0.087
221.000,0.085
222.000,0.084
223.000,0.082
224.000,0.080
225.000,0.079
226.000,0.078
227.000,0.077
228.000,0.076
229.000,0.075
230.000,0.074
231.000,0.073
232.000,0.071
233.000,0.071
234.000,0.070
235.000,0.069
236.000,0.068
237.000,0.068
238.000,0.067
239.000,0.067
240.000,0.066
241.000,0.065
242.000,0.064
243.000,0.064
244.000,0.063
245.000,0.062
246.000,0.062
247.000,0.061
248.000,0.060
249.000,0.060
250.000,0.059
251.000,0.059
252.000,0.058
253.000,0.058
254.000,0.057
255.000,0.057
256.000,0.056
257.000,0.056
258.000,0.055
259.000,0.055
260.000,0.055
261.000,0.054
262.000,0.054
263.000,0.053
264.000,0.053
265.000,0.052
266.000,0.052
267.000,0.051
268.000,0.051
269.000,0.050
270.000,0.050
271.000,0.049
272.000,0.048
273.000,0.048
274.000,0.047
275.000,0.046
276.000,0.046
277.000,0.045
278.000,0.044
279.000,0.044
280.000,0.043
281.000,0.042
282.000,0.042
283.000,0.041
284.000,0.040
285.000,0.040
286.000,0.039
287.000,0.038
288.000,0.037
289.000,0.037
290.000,0.036
291.000,0.035
292.000,0.035
293.000,0.034
294.000,0.034
295.000,0.033
296.000,0.032
297.000,0.032
298.000,0.031
299.000,0.031
300.000,0.030
301.000,0.030
302.000,0.029
303.000,0.029
304.000,0.028
305.000,0.028
306.000,0.027
307.000,0.027
308.000,0.026
309.000,0.026
310.000,0.026
311.000,0.025
312.000,0.025
313.000,0.024
314.000,0.024
315.000,0.023
316.000,0.023
317.000,0.023
318.000,0.022
319.000,0.022
320.000,0.022
321.000,0.021
322.000,0.021
323.000,0.021
324.000,0.020
325.000,0.020
326.000,0.020
327.000,0.019
328.000,0.019
329.000,0.019
330.000,0.018
331.000,0.018
332.000,0.018
333.000,0.017
334.000,0.017
335.000,0.017
336.000,0.016
337.000,0.016
338.000,0.016
339.000,0.016
340.000,0.015
341.000,0.015
342.000,0.015
343.000,0.014
344.000,0.014
345.000,0.014
346.000,0.014
347.000,0.013
348.000,0.013
349.000,0.013
350.000,0.013
351.000,0.012
352.000,0.012
353.000,0.012
354.000,0.012
355.000,0.011
356.000,0.011
357.000,0.011
358.000,0.011
359.000,0.010
360.000,0.010
361.000,0.010
362.000,0.010
363.000,0.009
364.000,0.009
365.000,0.009
366.000,0.009
367.000,0.008
368.000,0.008
369.000,0.008
370.000,0.008
371.000,0.007
372.000,0.007
373.000,0.007
374.000,0.007
375.000,0.007
376.000,0.006
377.000,0.006
378.000,0.006
379.000,0.006
380.000,0.006
381.000,0.005
382.000,0.005
383.000,0.005
384.000,0.005
385.000,0.005
386.000,0.005
387.000,0.004
388.000,0.004
389.000,0.004
390.000,0.004
391.000,0.004
392.000,0.004
393.000,0.003
394.000,0.003
395.000,0.003
396.000,0.003
397.000,0.003
398.000,0.002
399.000,0.002
400.000,0.002
401.000,0.002
402.000,0.002
403.000,0.002
404.000,0.001
405.000,0.001
406.000,0.001
407.000,0.001
408.000,0.001
409.000,0.001
410.000,0.000
411.000,0.000
412.000,0.000
413.000,-0.000
414.000,-0.000
415.000,-0.000
416.000,-0.001
417.000,-0.001
418.000,-0.001
419.000,-0.001
420.000,-0.001
421.000,-0.001
422.000,-0.001
423.000,-0.001
424.000,-0.001
425.000,-0.002
426.000,-0.002
427.000,-0.002
428.000,-0.002
429.000,-0.002
430.000,-0.002
431.000,-0.002
432.000,-0.002
433.000,-0.002
434.000,-0.002
435.000,-0.002
436.000,-0.003
437.000,-0.003
438.000,-0.003
439.000,-0.003
440.000,-0.003
441.000,-0.003
442.000,-0.003
443.000,-0.003
444.000,-0.003
445.000,-0.003
446.000,-0.003
447.000,-0.003
448.000,-0.003
449.000,-0.003
450.000,-0.004
451.000,-0.004
452.000,-0.004
453.000,-0.004
454.000,-0.004
455.000,-0.004
456.000,-0.004
457.000,-0.004
458.000,-0.004
459.000,-0.004
460.000,-0.004
461.000,-0.004
462.000,-0.004
463.000,-0.004
464.000,-0.004
465.000,-0.004
466.000,-0.004
467.000,-0.005
468.000,-0.005
469.000,-0.005
470.000,-0.005
471.000,-0.005
472.000,-0.005
473.000,-0.005
474.000,-0.005
475.000,-0.005
476.000,-0.005
477.000,-0.005
478.000,-0.005
479.000,-0.005
480.000,-0.005
481.000,-0.005
482.000,-0.005
483.000,-0.005
484.000,-0.005
485.000,-0.005
486.000,-0.005
487.000,-0.005
488.000,-0.005
489.000,-0.005
490.000,-0.005
491.000,-0.005
492.000,-0.005
493.000,-0.005
494.000,-0.005
495.000,-0.005
496.000,-0.005
497.000,-0.005
498.000,-0.005
499.000,-0.005
500.000,-0.005
501.000,-0.005
502.000,-0.005
503.000,-0.005
504.000,-0.005
505.000,-0.005
506.000,-0.005
507.000,-0.006
508.000,-0.006
509.000,-0.006
510.000,-0.006
511.000,-0.006
512.000,-0.006
513.000,-0.006
514.000,-0.006
515.000,-0.006
516.000,-0.006
517.000,-0.006
518.000,-0.006
519.000,-0.006
520.000,-0.006
521.000,-0.006
522.000,-0.006
523.000,-0.006
524.000,-0.006
525.000,-0.006
526.000,-0.006
527.000,-0.006
528.000,-0.006
529.000,-0.006
530.000,-0.006
531.000,-0.006
532.000,-0.006
533.000,-0.006
534.000,-0.006
535.000,-0.006
536.000,-0.006
537.000,-0.006
538.000,-0.006
539.000,-0.006
540.000,-0.006
541.000,-0.006
542.000,-0.006
543.000,-0.006
544.000,-0.006
545.000,-0.006
546.000,-0.006
547.000,-0.006
548.000,-0.006
549.000,-0.006
550.000,-0.006
551.000,-0.006
552.000,-0.006
553.000,-0.006
554.000,-0.006
555.000,-0.006
556.000,-0.006
557.000,-0.006
558.000,-0.006
559.000,-0.006
560.000,-0.006
561.000,-0.006
562.000,-0.006
563.000,-0.006
564.000,-0.006
565.000,-0.006
566.000,-0.005
567.000,-0.005
568.000,-0.005
569.000,-0.005
570.000,-0.005
571.000,-0.005
572.000,-0.005
573.000,-0.005
574.000,-0.005
575.000,-0.005
576.000,-0.005
577.000,-0.005
578.000,-0.005
579.000,-0.005
580.000,-0.005
581.000,-0.005
582.000,-0.005
583.000,-0.005
584.000,-0.005
585.000,-0.005
586.000,-0.005
587.000,-0.005
588.000,-0.005
589.000,-0.005
590.000,-0.005
591.000,-0.005
592.000,-0.005
593.000,-0.005
594.000,-0.005
595.000,-0.005
596.000,-0.005
597.000,-0.005
598.000,-0.005
599.000,-0.005
600.000,-0.005
601.000,-0.005
602.000,-0.005
603.000,-0.005
604.000,-0.005
605.000,-0.005
606.000,-0.005
607.000,-0.005
608.000,-0.005
609.000,-0.005
610.000,-0.005
611.000,-0.005
612.000,-0.005
613.000,-0.005
614.000,-0.005
615.000,-0.005
616.000,-0.005
617.000,-0.005
618.000,-0.005
619.000,-0.005
620.000,-0.005
621.000,-0.005
622.000,-0.005
623.000,-0.005
624.000,-0.005
625.000,-0.005
626.000,-0.005
627.000,-0.005
628.000,-0.005
629.000,-0.005
630.000,-0.005
631.000,-0.005
632.000,-0.005
633.000,-0.005
634.000,-0.005
635.000,-0.005
636.000,-0.005
637.000,-0.005
638.000,-0.005
639.000,-0.005
640.000,-0.005
641.000,-0.005
642.000,-0.005
643.000,-0.005
644.000,-0.005
645.000,-0.005
646.000,-0.005
647.000,-0.005
648.000,-0.005
649.000,-0.005
650.000,-0.005
651.000,-0.005
652.000,-0.004
653.000,-0.004
654.000,-0.004
655.000,-0.004
656.000,-0.004
657.000,-0.004
658.000,-0.004
659.000,-0.004
660.000,-0.005
661.000,-0.005
662.000,-0.005
663.000,-0.005
664.000,-0.005
665.000,-0.005
666.000,-0.005
667.000,-0.005
668.000,-0.005
669.000,-0.005
