[HEADER]
Format,J&M ASCII Table
Comment,ML03 Bottom
Date,6/21/2013 2:57:37 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.662
201.000,0.659
202.000,0.648
203.000,0.633
204.000,0.615
205.000,0.597
206.000,0.579
207.000,0.559
208.000,0.536
209.000,0.507
210.000,0.471
211.000,0.428
212.000,0.380
213.000,0.329
214.000,0.279
215.000,0.233
216.000,0.192
217.000,0.155
218.000,0.124
219.000,0.098
220.000,0.077
221.000,0.060
222.000,0.046
223.000,0.035
224.000,0.027
225.000,0.021
226.000,0.016
227.000,0.013
228.000,0.010
229.000,0.009
230.000,0.007
231.000,0.006
232.000,0.006
233.000,0.005
234.000,0.005
235.000,0.004
236.000,0.004
237.000,0.004
238.000,0.004
239.000,0.004
240.000,0.004
241.000,0.004
242.000,0.004
243.000,0.004
244.000,0.004
245.000,0.004
246.000,0.004
247.000,0.004
248.000,0.004
249.000,0.004
250.000,0.004
251.000,0.005
252.000,0.005
253.000,0.005
254.000,0.005
255.000,0.005
256.000,0.005
257.000,0.005
258.000,0.005
259.000,0.005
260.000,0.005
261.000,0.005
262.000,0.005
263.000,0.005
264.000,0.005
265.000,0.005
266.000,0.005
267.000,0.005
268.000,0.005
269.000,0.005
270.000,0.005
271.000,0.005
272.000,0.005
273.000,0.005
274.000,0.005
275.000,0.005
276.000,0.005
277.000,0.005
278.000,0.005
279.000,0.005
280.000,0.004
281.000,0.004
282.000,0.004
283.000,0.004
284.000,0.004
285.000,0.004
286.000,0.004
287.000,0.004
288.000,0.004
289.000,0.004
290.000,0.004
291.000,0.004
292.000,0.004
293.000,0.004
294.000,0.004
295.000,0.004
296.000,0.004
297.000,0.003
298.000,0.003
299.000,0.003
300.000,0.003
301.000,0.003
302.000,0.003
303.000,0.003
304.000,0.003
305.000,0.003
306.000,0.003
307.000,0.003
308.000,0.003
309.000,0.003
310.000,0.003
311.000,0.003
312.000,0.003
313.000,0.003
314.000,0.003
315.000,0.003
316.000,0.003
317.000,0.003
318.000,0.003
319.000,0.003
320.000,0.003
321.000,0.003
322.000,0.003
323.000,0.003
324.000,0.003
325.000,0.003
326.000,0.003
327.000,0.003
328.000,0.003
329.000,0.003
330.000,0.003
331.000,0.003
332.000,0.003
333.000,0.003
334.000,0.003
335.000,0.003
336.000,0.003
337.000,0.003
338.000,0.003
339.000,0.003
340.000,0.003
341.000,0.003
342.000,0.003
343.000,0.003
344.000,0.003
345.000,0.002
346.000,0.002
347.000,0.002
348.000,0.002
349.000,0.002
350.000,0.002
351.000,0.002
352.000,0.002
353.000,0.002
354.000,0.002
355.000,0.002
356.000,0.003
357.000,0.003
358.000,0.003
359.000,0.003
360.000,0.003
361.000,0.003
362.000,0.003
363.000,0.003
364.000,0.003
365.000,0.003
366.000,0.003
367.000,0.003
368.000,0.003
369.000,0.003
370.000,0.003
371.000,0.003
372.000,0.003
373.000,0.003
374.000,0.003
375.000,0.003
376.000,0.003
377.000,0.003
378.000,0.003
379.000,0.003
380.000,0.003
381.000,0.003
382.000,0.003
383.000,0.003
384.000,0.003
385.000,0.003
386.000,0.003
387.000,0.003
388.000,0.003
389.000,0.004
390.000,0.004
391.000,0.004
392.000,0.004
393.000,0.004
394.000,0.004
395.000,0.004
396.000,0.004
397.000,0.004
398.000,0.004
399.000,0.004
400.000,0.004
401.000,0.004
402.000,0.004
403.000,0.004
404.000,0.004
405.000,0.004
406.000,0.004
407.000,0.004
408.000,0.004
409.000,0.004
410.000,0.004
411.000,0.004
412.000,0.004
413.000,0.004
414.000,0.004
415.000,0.004
416.000,0.004
417.000,0.004
418.000,0.004
419.000,0.004
420.000,0.004
421.000,0.004
422.000,0.004
423.000,0.004
424.000,0.004
425.000,0.004
426.000,0.004
427.000,0.004
428.000,0.004
429.000,0.004
430.000,0.004
431.000,0.004
432.000,0.004
433.000,0.004
