[HEADER]
Format,J&M ASCII Table
Comment,SAT01 Bottom
Date,5/24/2013 4:23:28 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.762
201.000,0.761
202.000,0.753
203.000,0.740
204.000,0.724
205.000,0.708
206.000,0.689
207.000,0.668
208.000,0.641
209.000,0.606
210.000,0.564
211.000,0.513
212.000,0.459
213.000,0.403
214.000,0.350
215.000,0.300
216.000,0.256
217.000,0.218
218.000,0.185
219.000,0.156
220.000,0.131
221.000,0.111
222.000,0.093
223.000,0.079
224.000,0.068
225.000,0.059
226.000,0.051
227.000,0.045
228.000,0.040
229.000,0.036
230.000,0.033
231.000,0.031
232.000,0.029
233.000,0.027
234.000,0.026
235.000,0.024
236.000,0.024
237.000,0.023
238.000,0.022
239.000,0.021
240.000,0.021
241.000,0.020
242.000,0.020
243.000,0.020
244.000,0.019
245.000,0.019
246.000,0.019
247.000,0.018
248.000,0.018
249.000,0.018
250.000,0.018
251.000,0.017
252.000,0.017
253.000,0.017
254.000,0.017
255.000,0.017
256.000,0.016
257.000,0.016
258.000,0.016
259.000,0.016
260.000,0.016
261.000,0.016
262.000,0.016
263.000,0.015
264.000,0.015
265.000,0.015
266.000,0.015
267.000,0.015
268.000,0.015
269.000,0.015
270.000,0.014
271.000,0.014
272.000,0.014
273.000,0.014
274.000,0.014
275.000,0.013
276.000,0.013
277.000,0.013
278.000,0.013
279.000,0.013
280.000,0.012
281.000,0.012
282.000,0.012
283.000,0.012
284.000,0.012
285.000,0.011
286.000,0.011
287.000,0.011
288.000,0.011
289.000,0.011
290.000,0.010
291.000,0.010
292.000,0.010
293.000,0.010
294.000,0.010
295.000,0.010
296.000,0.009
297.000,0.009
298.000,0.009
299.000,0.009
300.000,0.009
301.000,0.009
302.000,0.009
303.000,0.008
304.000,0.008
305.000,0.008
306.000,0.008
307.000,0.008
308.000,0.008
309.000,0.008
310.000,0.008
311.000,0.007
312.000,0.007
313.000,0.007
314.000,0.007
315.000,0.007
316.000,0.007
317.000,0.007
318.000,0.007
319.000,0.007
320.000,0.007
321.000,0.007
322.000,0.007
323.000,0.006
324.000,0.006
325.000,0.006
326.000,0.006
327.000,0.006
328.000,0.006
329.000,0.006
330.000,0.006
331.000,0.006
332.000,0.006
333.000,0.006
334.000,0.006
335.000,0.006
336.000,0.006
337.000,0.006
338.000,0.005
339.000,0.005
340.000,0.005
341.000,0.005
342.000,0.005
343.000,0.005
344.000,0.005
345.000,0.005
346.000,0.005
347.000,0.005
348.000,0.005
349.000,0.005
350.000,0.005
351.000,0.005
352.000,0.005
353.000,0.005
354.000,0.005
355.000,0.005
356.000,0.005
357.000,0.005
358.000,0.005
359.000,0.005
360.000,0.005
361.000,0.005
362.000,0.005
363.000,0.005
364.000,0.005
365.000,0.005
366.000,0.005
367.000,0.005
368.000,0.005
369.000,0.005
370.000,0.005
371.000,0.005
372.000,0.005
373.000,0.005
374.000,0.005
375.000,0.005
376.000,0.005
377.000,0.005
378.000,0.005
379.000,0.005
380.000,0.005
381.000,0.005
382.000,0.005
383.000,0.005
384.000,0.005
385.000,0.005
386.000,0.005
387.000,0.005
388.000,0.005
389.000,0.005
390.000,0.005
391.000,0.005
392.000,0.005
393.000,0.005
394.000,0.005
395.000,0.005
396.000,0.005
397.000,0.006
398.000,0.006
399.000,0.006
400.000,0.006
401.000,0.006
402.000,0.006
403.000,0.006
404.000,0.006
405.000,0.005
406.000,0.005
407.000,0.005
408.000,0.005
409.000,0.005
410.000,0.005
411.000,0.005
412.000,0.005
413.000,0.005
414.000,0.005
415.000,0.005
416.000,0.005
417.000,0.005
418.000,0.005
419.000,0.005
420.000,0.005
421.000,0.005
422.000,0.005
423.000,0.005
424.000,0.005
425.000,0.005
426.000,0.005
427.000,0.005
428.000,0.005
429.000,0.005
430.000,0.005
431.000,0.005
432.000,0.005
433.000,0.005
434.000,0.005
435.000,0.005
436.000,0.005
437.000,0.005
438.000,0.005
439.000,0.005
440.000,0.005
441.000,0.005
442.000,0.005
443.000,0.005
444.000,0.005
445.000,0.005
446.000,0.005
447.000,0.005
448.000,0.005
449.000,0.005
450.000,0.005
451.000,0.005
452.000,0.005
453.000,0.005
