[HEADER]
Format,J&M ASCII Table
Comment,SAT03 Surface
Date,5/24/2013 3:23:45 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.657
201.000,0.622
202.000,0.577
203.000,0.525
204.000,0.472
205.000,0.421
206.000,0.374
207.000,0.331
208.000,0.293
209.000,0.261
210.000,0.233
211.000,0.209
212.000,0.189
213.000,0.172
214.000,0.158
215.000,0.146
216.000,0.135
217.000,0.126
218.000,0.118
219.000,0.111
220.000,0.104
221.000,0.099
222.000,0.094
223.000,0.089
224.000,0.085
225.000,0.082
226.000,0.079
227.000,0.076
228.000,0.074
229.000,0.072
230.000,0.070
231.000,0.069
232.000,0.067
233.000,0.066
234.000,0.065
235.000,0.064
236.000,0.063
237.000,0.062
238.000,0.062
239.000,0.061
240.000,0.060
241.000,0.060
242.000,0.059
243.000,0.058
244.000,0.057
245.000,0.057
246.000,0.056
247.000,0.055
248.000,0.055
249.000,0.054
250.000,0.053
251.000,0.053
252.000,0.052
253.000,0.051
254.000,0.051
255.000,0.050
256.000,0.050
257.000,0.050
258.000,0.049
259.000,0.049
260.000,0.048
261.000,0.048
262.000,0.047
263.000,0.047
264.000,0.047
265.000,0.046
266.000,0.046
267.000,0.045
268.000,0.045
269.000,0.044
270.000,0.044
271.000,0.043
272.000,0.042
273.000,0.042
274.000,0.041
275.000,0.041
276.000,0.040
277.000,0.039
278.000,0.039
279.000,0.038
280.000,0.038
281.000,0.037
282.000,0.036
283.000,0.036
284.000,0.035
285.000,0.035
286.000,0.034
287.000,0.033
288.000,0.033
289.000,0.032
290.000,0.032
291.000,0.031
292.000,0.030
293.000,0.030
294.000,0.029
295.000,0.029
296.000,0.028
297.000,0.028
298.000,0.027
299.000,0.027
300.000,0.026
301.000,0.026
302.000,0.025
303.000,0.025
304.000,0.025
305.000,0.024
306.000,0.024
307.000,0.023
308.000,0.023
309.000,0.023
310.000,0.022
311.000,0.022
312.000,0.021
313.000,0.021
314.000,0.021
315.000,0.020
316.000,0.020
317.000,0.020
318.000,0.019
319.000,0.019
320.000,0.019
321.000,0.018
322.000,0.018
323.000,0.018
324.000,0.017
325.000,0.017
326.000,0.017
327.000,0.017
328.000,0.016
329.000,0.016
330.000,0.016
331.000,0.015
332.000,0.015
333.000,0.015
334.000,0.015
335.000,0.014
336.000,0.014
337.000,0.014
338.000,0.014
339.000,0.013
340.000,0.013
341.000,0.013
342.000,0.013
343.000,0.013
344.000,0.012
345.000,0.012
346.000,0.012
347.000,0.012
348.000,0.012
349.000,0.011
350.000,0.011
351.000,0.011
352.000,0.011
353.000,0.011
354.000,0.011
355.000,0.010
356.000,0.010
357.000,0.010
358.000,0.010
359.000,0.010
360.000,0.010
361.000,0.010
362.000,0.009
363.000,0.009
364.000,0.009
365.000,0.009
366.000,0.009
367.000,0.009
368.000,0.009
369.000,0.008
370.000,0.008
371.000,0.008
372.000,0.008
373.000,0.008
374.000,0.008
375.000,0.008
376.000,0.008
377.000,0.008
378.000,0.008
379.000,0.007
380.000,0.007
381.000,0.007
382.000,0.007
383.000,0.007
384.000,0.007
385.000,0.007
386.000,0.007
387.000,0.007
388.000,0.007
389.000,0.007
390.000,0.007
391.000,0.007
392.000,0.007
393.000,0.007
394.000,0.007
395.000,0.006
396.000,0.006
397.000,0.006
398.000,0.006
399.000,0.006
400.000,0.006
401.000,0.006
402.000,0.006
403.000,0.006
404.000,0.006
405.000,0.006
406.000,0.005
407.000,0.005
408.000,0.005
409.000,0.005
410.000,0.005
411.000,0.005
412.000,0.005
413.000,0.005
414.000,0.005
415.000,0.005
416.000,0.004
417.000,0.004
418.000,0.004
419.000,0.004
420.000,0.004
421.000,0.004
422.000,0.004
423.000,0.004
424.000,0.004
425.000,0.004
426.000,0.004
427.000,0.004
428.000,0.004
429.000,0.004
430.000,0.004
431.000,0.004
432.000,0.004
433.000,0.003
434.000,0.003
435.000,0.003
436.000,0.003
437.000,0.003
438.000,0.003
439.000,0.003
440.000,0.003
441.000,0.003
442.000,0.003
443.000,0.003
444.000,0.003
445.000,0.003
446.000,0.003
447.000,0.003
448.000,0.003
449.000,0.003
450.000,0.003
451.000,0.003
452.000,0.003
453.000,0.003
454.000,0.003
455.000,0.003
456.000,0.003
457.000,0.003
458.000,0.003
459.000,0.003
460.000,0.003
461.000,0.003
462.000,0.002
463.000,0.002
464.000,0.002
465.000,0.002
466.000,0.002
467.000,0.002
468.000,0.002
469.000,0.002
470.000,0.002
471.000,0.002
472.000,0.002
473.000,0.002
474.000,0.002
475.000,0.002
476.000,0.002
477.000,0.002
478.000,0.002
479.000,0.002
480.000,0.002
481.000,0.002
482.000,0.002
483.000,0.002
484.000,0.002
485.000,0.002
486.000,0.002
487.000,0.002
488.000,0.002
489.000,0.002
490.000,0.002
491.000,0.002
492.000,0.002
493.000,0.002
494.000,0.002
495.000,0.002
496.000,0.002
497.000,0.002
498.000,0.002
499.000,0.002
500.000,0.002
501.000,0.002
502.000,0.002
503.000,0.002
504.000,0.002
505.000,0.002
506.000,0.002
507.000,0.002
508.000,0.002
509.000,0.002
510.000,0.002
511.000,0.002
512.000,0.002
513.000,0.002
514.000,0.002
515.000,0.002
516.000,0.002
517.000,0.002
518.000,0.002
519.000,0.002
520.000,0.002
521.000,0.002
522.000,0.002
523.000,0.002
524.000,0.002
525.000,0.002
526.000,0.002
527.000,0.001
528.000,0.001
529.000,0.001
530.000,0.001
531.000,0.001
532.000,0.001
