[HEADER]
Format,J&M ASCII Table
Comment,
Date,3/29/2013 4:07:25 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.327
201.000,0.322
202.000,0.315
203.000,0.307
204.000,0.299
205.000,0.291
206.000,0.282
207.000,0.274
208.000,0.267
209.000,0.259
210.000,0.252
211.000,0.244
212.000,0.236
213.000,0.228
214.000,0.220
215.000,0.212
216.000,0.203
217.000,0.193
218.000,0.184
219.000,0.174
220.000,0.164
221.000,0.155
222.000,0.145
223.000,0.136
224.000,0.127
225.000,0.119
226.000,0.112
227.000,0.105
228.000,0.099
229.000,0.094
230.000,0.089
231.000,0.085
232.000,0.081
233.000,0.078
234.000,0.075
235.000,0.073
236.000,0.071
237.000,0.069
238.000,0.067
239.000,0.066
240.000,0.065
241.000,0.063
242.000,0.062
243.000,0.061
244.000,0.060
245.000,0.059
246.000,0.058
247.000,0.057
248.000,0.056
249.000,0.055
250.000,0.055
251.000,0.054
252.000,0.053
253.000,0.053
254.000,0.052
255.000,0.052
256.000,0.052
257.000,0.051
258.000,0.051
259.000,0.051
260.000,0.050
261.000,0.050
262.000,0.050
263.000,0.049
264.000,0.049
265.000,0.048
266.000,0.048
267.000,0.048
268.000,0.047
269.000,0.047
270.000,0.046
271.000,0.046
272.000,0.045
273.000,0.045
274.000,0.044
275.000,0.044
276.000,0.043
277.000,0.042
278.000,0.042
279.000,0.041
280.000,0.041
281.000,0.040
282.000,0.040
283.000,0.039
284.000,0.039
285.000,0.038
286.000,0.037
287.000,0.037
288.000,0.036
289.000,0.035
290.000,0.035
291.000,0.034
292.000,0.034
293.000,0.033
294.000,0.033
295.000,0.032
296.000,0.031
297.000,0.031
298.000,0.030
299.000,0.030
300.000,0.029
301.000,0.029
302.000,0.029
303.000,0.028
304.000,0.028
305.000,0.027
306.000,0.027
307.000,0.026
308.000,0.026
309.000,0.026
310.000,0.025
311.000,0.025
312.000,0.024
313.000,0.024
314.000,0.023
315.000,0.023
316.000,0.023
317.000,0.022
318.000,0.022
319.000,0.022
320.000,0.021
321.000,0.021
322.000,0.021
323.000,0.020
324.000,0.020
325.000,0.020
326.000,0.019
327.000,0.019
328.000,0.019
329.000,0.018
330.000,0.018
331.000,0.018
332.000,0.018
333.000,0.017
334.000,0.017
335.000,0.017
336.000,0.017
337.000,0.016
338.000,0.016
339.000,0.016
340.000,0.015
341.000,0.015
342.000,0.015
343.000,0.015
344.000,0.014
345.000,0.014
346.000,0.014
347.000,0.014
348.000,0.013
349.000,0.013
350.000,0.013
351.000,0.013
352.000,0.013
353.000,0.012
354.000,0.012
355.000,0.012
356.000,0.012
357.000,0.012
358.000,0.011
359.000,0.011
360.000,0.011
361.000,0.011
362.000,0.010
363.000,0.010
364.000,0.010
365.000,0.010
366.000,0.010
367.000,0.009
368.000,0.009
369.000,0.009
370.000,0.009
371.000,0.009
372.000,0.009
373.000,0.009
374.000,0.008
375.000,0.008
376.000,0.008
377.000,0.008
378.000,0.008
379.000,0.008
380.000,0.007
381.000,0.007
382.000,0.007
383.000,0.007
384.000,0.007
385.000,0.007
386.000,0.007
387.000,0.006
388.000,0.006
389.000,0.006
390.000,0.006
391.000,0.006
392.000,0.006
393.000,0.006
394.000,0.006
395.000,0.006
396.000,0.005
397.000,0.005
398.000,0.005
399.000,0.005
400.000,0.005
401.000,0.005
402.000,0.005
403.000,0.005
404.000,0.004
405.000,0.004
406.000,0.004
407.000,0.004
408.000,0.004
409.000,0.004
410.000,0.003
411.000,0.003
412.000,0.003
413.000,0.003
414.000,0.003
415.000,0.003
416.000,0.003
417.000,0.003
418.000,0.003
419.000,0.002
420.000,0.002
421.000,0.002
422.000,0.002
423.000,0.002
424.000,0.002
425.000,0.002
426.000,0.002
427.000,0.002
428.000,0.002
429.000,0.002
430.000,0.002
431.000,0.001
432.000,0.001
433.000,0.001
434.000,0.001
435.000,0.001
436.000,0.001
437.000,0.001
438.000,0.001
439.000,0.001
440.000,0.001
441.000,0.001
442.000,0.001
443.000,0.001
444.000,0.001
445.000,0.001
446.000,0.001
447.000,0.001
448.000,0.000
449.000,0.000
450.000,0.000
451.000,0.000
452.000,0.000
453.000,0.000
454.000,0.000
455.000,0.000
456.000,0.000
457.000,0.000
458.000,0.000
459.000,0.000
460.000,-0.000
461.000,-0.000
462.000,-0.000
463.000,-0.000
464.000,-0.000
465.000,-0.000
466.000,-0.000
467.000,-0.000
468.000,-0.000
469.000,-0.000
470.000,-0.000
471.000,-0.001
472.000,-0.001
473.000,-0.001
474.000,-0.001
475.000,-0.001
476.000,-0.001
477.000,-0.001
478.000,-0.001
479.000,-0.001
480.000,-0.001
481.000,-0.001
482.000,-0.001
483.000,-0.001
484.000,-0.001
485.000,-0.001
486.000,-0.001
487.000,-0.001
488.000,-0.001
489.000,-0.001
490.000,-0.001
491.000,-0.001
492.000,-0.001
493.000,-0.001
494.000,-0.001
495.000,-0.001
496.000,-0.001
497.000,-0.001
498.000,-0.001
499.000,-0.001
500.000,-0.001
501.000,-0.001
502.000,-0.001
503.000,-0.001
504.000,-0.001
505.000,-0.001
506.000,-0.001
507.000,-0.001
508.000,-0.001
509.000,-0.001
510.000,-0.001
511.000,-0.001
512.000,-0.001
513.000,-0.001
514.000,-0.001
515.000,-0.001
516.000,-0.001
517.000,-0.001
518.000,-0.001
519.000,-0.001
520.000,-0.002
521.000,-0.002
522.000,-0.002
523.000,-0.002
524.000,-0.002
525.000,-0.002
526.000,-0.002
527.000,-0.002
528.000,-0.002
529.000,-0.002
530.000,-0.002
531.000,-0.002
532.000,-0.002
533.000,-0.002
534.000,-0.002
535.000,-0.002
536.000,-0.002
537.000,-0.002
538.000,-0.002
539.000,-0.002
540.000,-0.002
541.000,-0.002
542.000,-0.002
543.000,-0.002
544.000,-0.002
545.000,-0.002
546.000,-0.002
547.000,-0.002
548.000,-0.002
549.000,-0.002
550.000,-0.002
551.000,-0.002
552.000,-0.002
553.000,-0.002
554.000,-0.002
555.000,-0.002
556.000,-0.002
557.000,-0.002
558.000,-0.002
559.000,-0.002
560.000,-0.002
561.000,-0.002
562.000,-0.002
563.000,-0.002
564.000,-0.002
565.000,-0.002
566.000,-0.002
567.000,-0.002
568.000,-0.002
569.000,-0.002
570.000,-0.002
571.000,-0.002
572.000,-0.002
573.000,-0.002
574.000,-0.002
575.000,-0.002
576.000,-0.001
577.000,-0.001
578.000,-0.001
579.000,-0.001
580.000,-0.001
581.000,-0.001
582.000,-0.001
583.000,-0.002
584.000,-0.002
585.000,-0.002
586.000,-0.002
587.000,-0.002
588.000,-0.002
589.000,-0.002
590.000,-0.002
591.000,-0.002
592.000,-0.002
593.000,-0.002
594.000,-0.002
595.000,-0.002
596.000,-0.002
597.000,-0.002
598.000,-0.002
599.000,-0.002
600.000,-0.002
601.000,-0.002
602.000,-0.002
603.000,-0.002
604.000,-0.002
605.000,-0.002
606.000,-0.002
607.000,-0.002
608.000,-0.002
609.000,-0.002
610.000,-0.002
611.000,-0.002
612.000,-0.002
613.000,-0.002
614.000,-0.002
615.000,-0.002
616.000,-0.002
617.000,-0.002
618.000,-0.002
619.000,-0.002
620.000,-0.002
621.000,-0.002
622.000,-0.002
623.000,-0.002
624.000,-0.002
625.000,-0.002
626.000,-0.002
627.000,-0.002
628.000,-0.002
629.000,-0.002
630.000,-0.002
631.000,-0.002
632.000,-0.002
633.000,-0.002
634.000,-0.002
635.000,-0.002
636.000,-0.002
637.000,-0.002
638.000,-0.002
639.000,-0.002
640.000,-0.002
641.000,-0.002
642.000,-0.002
643.000,-0.002
644.000,-0.002
645.000,-0.002
646.000,-0.002
647.000,-0.002
648.000,-0.002
649.000,-0.002
650.000,-0.002
651.000,-0.002
652.000,-0.002
653.000,-0.002
654.000,-0.002
655.000,-0.002
656.000,-0.002
657.000,-0.002
658.000,-0.002
659.000,-0.002
660.000,-0.002
661.000,-0.002
662.000,-0.002
663.000,-0.002
664.000,-0.002
665.000,-0.002
666.000,-0.002
667.000,-0.002
668.000,-0.002
669.000,-0.002
670.000,-0.002
671.000,-0.002
672.000,-0.002
673.000,-0.002
674.000,-0.002
675.000,-0.002
676.000,-0.002
677.000,-0.002
678.000,-0.002
679.000,-0.002
680.000,-0.002
681.000,-0.002
682.000,-0.002
683.000,-0.002
684.000,-0.002
685.000,-0.002
686.000,-0.002
687.000,-0.002
688.000,-0.002
689.000,-0.002
690.000,-0.002
691.000,-0.002
692.000,-0.002
693.000,-0.002
694.000,-0.002
695.000,-0.002
696.000,-0.002
697.000,-0.002
698.000,-0.002
699.000,-0.002
700.000,-0.002
701.000,-0.002
702.000,-0.002
703.000,-0.002
704.000,-0.002
705.000,-0.002
706.000,-0.002
707.000,-0.002
708.000,-0.002
709.000,-0.002
710.000,-0.002
711.000,-0.002
712.000,-0.002
713.000,-0.002
714.000,-0.002
715.000,-0.002
716.000,-0.002
717.000,-0.002
718.000,-0.002
719.000,-0.002
720.000,-0.002
721.000,-0.002
722.000,-0.002
723.000,-0.002
