[HEADER]
Format,J&M ASCII Table
Comment,SAT05-05/21-1105
Date,5/21/2013 2:57:56 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.184
201.000,0.180
202.000,0.176
203.000,0.171
204.000,0.166
205.000,0.162
206.000,0.157
207.000,0.153
208.000,0.149
209.000,0.145
210.000,0.142
211.000,0.139
212.000,0.135
213.000,0.132
214.000,0.129
215.000,0.126
216.000,0.122
217.000,0.119
218.000,0.115
219.000,0.112
220.000,0.109
221.000,0.105
222.000,0.102
223.000,0.099
224.000,0.095
225.000,0.092
226.000,0.089
227.000,0.087
228.000,0.085
229.000,0.083
230.000,0.081
231.000,0.079
232.000,0.078
233.000,0.076
234.000,0.075
235.000,0.074
236.000,0.073
237.000,0.072
238.000,0.071
239.000,0.070
240.000,0.069
241.000,0.068
242.000,0.067
243.000,0.066
244.000,0.066
245.000,0.065
246.000,0.064
247.000,0.063
248.000,0.062
249.000,0.062
250.000,0.061
251.000,0.060
252.000,0.060
253.000,0.059
254.000,0.059
255.000,0.058
256.000,0.058
257.000,0.057
258.000,0.057
259.000,0.056
260.000,0.056
261.000,0.056
262.000,0.055
263.000,0.055
264.000,0.054
265.000,0.054
266.000,0.053
267.000,0.053
268.000,0.052
269.000,0.052
270.000,0.051
271.000,0.050
272.000,0.050
273.000,0.049
274.000,0.049
275.000,0.048
276.000,0.047
277.000,0.046
278.000,0.046
279.000,0.045
280.000,0.045
281.000,0.044
282.000,0.043
283.000,0.042
284.000,0.042
285.000,0.041
286.000,0.040
287.000,0.040
288.000,0.039
289.000,0.038
290.000,0.038
291.000,0.037
292.000,0.036
293.000,0.036
294.000,0.035
295.000,0.034
296.000,0.034
297.000,0.033
298.000,0.032
299.000,0.032
300.000,0.031
301.000,0.031
302.000,0.030
303.000,0.030
304.000,0.029
305.000,0.029
306.000,0.028
307.000,0.028
308.000,0.027
309.000,0.027
310.000,0.027
311.000,0.026
312.000,0.025
313.000,0.025
314.000,0.025
315.000,0.024
316.000,0.024
317.000,0.024
318.000,0.023
319.000,0.023
320.000,0.022
321.000,0.022
322.000,0.022
323.000,0.021
324.000,0.021
325.000,0.021
326.000,0.020
327.000,0.020
328.000,0.020
329.000,0.019
330.000,0.019
331.000,0.019
332.000,0.018
333.000,0.018
334.000,0.018
335.000,0.017
336.000,0.017
337.000,0.017
338.000,0.017
339.000,0.016
340.000,0.016
341.000,0.016
342.000,0.016
343.000,0.015
344.000,0.015
345.000,0.015
346.000,0.015
347.000,0.014
348.000,0.014
349.000,0.014
350.000,0.014
351.000,0.014
352.000,0.014
353.000,0.013
354.000,0.013
355.000,0.013
356.000,0.013
357.000,0.013
358.000,0.013
359.000,0.012
360.000,0.012
361.000,0.012
362.000,0.012
363.000,0.012
364.000,0.012
365.000,0.011
366.000,0.011
367.000,0.011
368.000,0.011
369.000,0.011
370.000,0.011
371.000,0.011
372.000,0.011
373.000,0.011
374.000,0.010
375.000,0.010
376.000,0.010
377.000,0.010
378.000,0.010
379.000,0.010
380.000,0.010
381.000,0.010
382.000,0.010
383.000,0.010
384.000,0.010
385.000,0.010
386.000,0.009
387.000,0.009
388.000,0.009
389.000,0.009
390.000,0.009
391.000,0.009
392.000,0.009
393.000,0.009
394.000,0.009
395.000,0.009
396.000,0.009
397.000,0.009
398.000,0.009
399.000,0.009
400.000,0.009
401.000,0.009
402.000,0.009
403.000,0.008
404.000,0.008
405.000,0.008
406.000,0.008
407.000,0.008
408.000,0.008
409.000,0.008
410.000,0.008
411.000,0.008
412.000,0.008
413.000,0.008
414.000,0.008
415.000,0.008
416.000,0.008
417.000,0.007
418.000,0.007
419.000,0.007
420.000,0.007
421.000,0.007
422.000,0.007
423.000,0.007
424.000,0.007
425.000,0.007
426.000,0.007
427.000,0.007
428.000,0.007
429.000,0.007
430.000,0.007
431.000,0.007
432.000,0.007
433.000,0.007
434.000,0.007
435.000,0.007
436.000,0.007
437.000,0.006
438.000,0.006
439.000,0.006
440.000,0.006
441.000,0.006
442.000,0.006
443.000,0.006
444.000,0.006
445.000,0.006
446.000,0.006
447.000,0.006
448.000,0.006
449.000,0.006
450.000,0.006
451.000,0.006
452.000,0.006
453.000,0.006
454.000,0.006
455.000,0.006
456.000,0.006
457.000,0.006
458.000,0.006
459.000,0.006
460.000,0.006
461.000,0.006
462.000,0.006
463.000,0.006
464.000,0.006
465.000,0.006
466.000,0.005
467.000,0.005
468.000,0.006
469.000,0.006
470.000,0.006
471.000,0.006
472.000,0.006
473.000,0.006
474.000,0.005
475.000,0.005
476.000,0.005
477.000,0.005
478.000,0.005
479.000,0.005
480.000,0.005
481.000,0.005
482.000,0.005
483.000,0.005
484.000,0.005
485.000,0.005
486.000,0.005
487.000,0.005
488.000,0.005
489.000,0.005
490.000,0.005
491.000,0.005
492.000,0.005
493.000,0.005
494.000,0.005
495.000,0.005
496.000,0.005
497.000,0.005
498.000,0.005
499.000,0.005
500.000,0.005
501.000,0.005
502.000,0.005
503.000,0.005
504.000,0.005
505.000,0.005
506.000,0.005
507.000,0.005
508.000,0.005
509.000,0.005
510.000,0.005
511.000,0.005
512.000,0.005
513.000,0.005
514.000,0.005
515.000,0.005
516.000,0.005
517.000,0.005
518.000,0.005
519.000,0.005
520.000,0.005
521.000,0.005
522.000,0.005
523.000,0.005
524.000,0.005
525.000,0.005
526.000,0.004
527.000,0.004
528.000,0.004
529.000,0.004
530.000,0.004
531.000,0.004
532.000,0.004
533.000,0.004
534.000,0.004
535.000,0.004
536.000,0.004
537.000,0.004
538.000,0.004
539.000,0.004
540.000,0.004
541.000,0.004
542.000,0.004
543.000,0.004
544.000,0.004
545.000,0.004
546.000,0.004
547.000,0.004
548.000,0.004
549.000,0.004
550.000,0.004
551.000,0.004
552.000,0.004
553.000,0.004
554.000,0.004
555.000,0.004
556.000,0.004
557.000,0.004
558.000,0.004
559.000,0.004
560.000,0.004
561.000,0.004
562.000,0.004
563.000,0.004
564.000,0.004
565.000,0.004
566.000,0.004
567.000,0.004
568.000,0.004
569.000,0.004
570.000,0.004
571.000,0.004
572.000,0.004
573.000,0.003
574.000,0.003
575.000,0.003
576.000,0.003
577.000,0.003
578.000,0.003
579.000,0.003
580.000,0.003
581.000,0.003
582.000,0.003
583.000,0.003
584.000,0.003
585.000,0.003
586.000,0.003
587.000,0.003
588.000,0.003
589.000,0.003
590.000,0.003
591.000,0.003
592.000,0.003
593.000,0.003
594.000,0.003
595.000,0.003
596.000,0.003
597.000,0.003
598.000,0.003
599.000,0.003
600.000,0.003
601.000,0.003
602.000,0.003
603.000,0.003
604.000,0.003
605.000,0.003
606.000,0.003
607.000,0.003
608.000,0.003
609.000,0.003
610.000,0.003
611.000,0.003
612.000,0.003
613.000,0.003
614.000,0.003
615.000,0.003
616.000,0.003
617.000,0.003
618.000,0.003
619.000,0.003
620.000,0.003
621.000,0.003
622.000,0.003
623.000,0.003
624.000,0.003
625.000,0.003
626.000,0.003
627.000,0.003
628.000,0.003
629.000,0.003
630.000,0.003
631.000,0.003
632.000,0.003
633.000,0.003
634.000,0.003
635.000,0.003
636.000,0.003
637.000,0.003
638.000,0.003
639.000,0.003
640.000,0.003
641.000,0.003
642.000,0.003
643.000,0.003
644.000,0.003
645.000,0.003
646.000,0.003
647.000,0.003
648.000,0.003
649.000,0.003
650.000,0.003
651.000,0.003
652.000,0.003
653.000,0.002
654.000,0.002
655.000,0.002
656.000,0.002
657.000,0.002
658.000,0.002
659.000,0.002
660.000,0.002
661.000,0.003
662.000,0.003
663.000,0.003
664.000,0.003
665.000,0.003
666.000,0.003
667.000,0.003
668.000,0.003
669.000,0.003
670.000,0.003
671.000,0.003
672.000,0.003
673.000,0.003
674.000,0.003
675.000,0.003
676.000,0.003
677.000,0.003
678.000,0.003
679.000,0.003
680.000,0.003
681.000,0.003
682.000,0.003
683.000,0.003
684.000,0.003
685.000,0.002
686.000,0.002
687.000,0.002
688.000,0.002
689.000,0.002
690.000,0.002
691.000,0.002
692.000,0.002
693.000,0.002
694.000,0.002
695.000,0.002
696.000,0.002
697.000,0.002
698.000,0.002
699.000,0.002
700.000,0.002
701.000,0.002
702.000,0.002
703.000,0.002
704.000,0.002
705.000,0.002
706.000,0.002
707.000,0.002
708.000,0.002
709.000,0.002
710.000,0.002
711.000,0.002
712.000,0.002
713.000,0.002
714.000,0.002
715.000,0.002
716.000,0.002
717.000,0.002
718.000,0.002
719.000,0.002
720.000,0.002
721.000,0.002
722.000,0.002
723.000,0.002
