[HEADER]
Format,J&M ASCII Table
Comment,
Date,7/26/2013 4:55:31 PM
Order,Y (evenX)
TechType,UV
NumPoints,524
FirstX,200.00
LastX,723.00
XType,NMetr
YType,Absrb
[DATA]
200.000,0.581
201.000,0.536
202.000,0.486
203.000,0.434
204.000,0.383
205.000,0.337
206.000,0.296
207.000,0.259
208.000,0.228
209.000,0.202
210.000,0.180
211.000,0.161
212.000,0.146
213.000,0.133
214.000,0.123
215.000,0.114
216.000,0.107
217.000,0.100
218.000,0.095
219.000,0.090
220.000,0.085
221.000,0.081
222.000,0.078
223.000,0.075
224.000,0.072
225.000,0.069
226.000,0.067
227.000,0.065
228.000,0.063
229.000,0.062
230.000,0.060
231.000,0.059
232.000,0.058
233.000,0.057
234.000,0.056
235.000,0.055
236.000,0.054
237.000,0.054
238.000,0.053
239.000,0.052
240.000,0.052
241.000,0.051
242.000,0.050
243.000,0.050
244.000,0.049
245.000,0.049
246.000,0.048
247.000,0.048
248.000,0.047
249.000,0.047
250.000,0.046
251.000,0.046
252.000,0.045
253.000,0.045
254.000,0.045
255.000,0.044
256.000,0.044
257.000,0.044
258.000,0.044
259.000,0.043
260.000,0.043
261.000,0.043
262.000,0.042
263.000,0.042
264.000,0.042
265.000,0.041
266.000,0.041
267.000,0.041
268.000,0.040
269.000,0.040
270.000,0.039
271.000,0.039
272.000,0.038
273.000,0.038
274.000,0.037
275.000,0.037
276.000,0.036
277.000,0.036
278.000,0.035
279.000,0.034
280.000,0.034
281.000,0.033
282.000,0.033
283.000,0.032
284.000,0.032
285.000,0.031
286.000,0.031
287.000,0.030
288.000,0.030
289.000,0.029
290.000,0.028
291.000,0.028
292.000,0.027
293.000,0.027
294.000,0.026
295.000,0.026
296.000,0.025
297.000,0.025
298.000,0.024
299.000,0.024
300.000,0.024
301.000,0.023
302.000,0.023
303.000,0.022
304.000,0.022
305.000,0.022
306.000,0.021
307.000,0.021
308.000,0.021
309.000,0.020
310.000,0.020
311.000,0.020
312.000,0.019
313.000,0.019
314.000,0.019
315.000,0.018
316.000,0.018
317.000,0.018
318.000,0.017
319.000,0.017
320.000,0.017
321.000,0.017
322.000,0.016
323.000,0.016
324.000,0.016
325.000,0.015
326.000,0.015
327.000,0.015
328.000,0.015
329.000,0.014
330.000,0.014
331.000,0.014
332.000,0.014
333.000,0.014
334.000,0.013
335.000,0.013
336.000,0.013
337.000,0.013
338.000,0.012
339.000,0.012
340.000,0.012
341.000,0.012
342.000,0.012
343.000,0.012
344.000,0.011
345.000,0.011
346.000,0.011
347.000,0.011
348.000,0.011
349.000,0.011
350.000,0.010
351.000,0.010
352.000,0.010
353.000,0.010
354.000,0.010
355.000,0.010
356.000,0.009
357.000,0.009
358.000,0.009
359.000,0.009
360.000,0.009
361.000,0.009
362.000,0.009
363.000,0.008
364.000,0.008
365.000,0.008
366.000,0.008
367.000,0.008
368.000,0.008
369.000,0.008
370.000,0.008
371.000,0.008
372.000,0.007
373.000,0.007
374.000,0.007
375.000,0.007
376.000,0.007
377.000,0.007
378.000,0.007
379.000,0.007
380.000,0.007
381.000,0.007
382.000,0.007
383.000,0.007
384.000,0.007
385.000,0.007
386.000,0.007
387.000,0.007
388.000,0.006
389.000,0.006
390.000,0.006
391.000,0.006
392.000,0.006
393.000,0.006
394.000,0.006
395.000,0.006
396.000,0.006
397.000,0.006
398.000,0.006
399.000,0.006
400.000,0.006
401.000,0.006
402.000,0.006
403.000,0.006
404.000,0.005
405.000,0.005
406.000,0.005
407.000,0.005
408.000,0.005
409.000,0.005
410.000,0.005
411.000,0.005
412.000,0.005
413.000,0.004
414.000,0.004
415.000,0.004
416.000,0.004
417.000,0.004
418.000,0.004
419.000,0.004
420.000,0.004
421.000,0.004
422.000,0.004
423.000,0.004
424.000,0.004
425.000,0.004
426.000,0.004
427.000,0.003
428.000,0.003
429.000,0.003
430.000,0.003
431.000,0.003
432.000,0.003
433.000,0.003
434.000,0.003
435.000,0.003
436.000,0.003
437.000,0.003
438.000,0.003
439.000,0.003
440.000,0.003
441.000,0.003
442.000,0.003
443.000,0.003
444.000,0.003
445.000,0.003
446.000,0.003
447.000,0.003
448.000,0.003
449.000,0.002
450.000,0.002
451.000,0.002
452.000,0.002
453.000,0.002
454.000,0.002
455.000,0.002
456.000,0.002
457.000,0.002
458.000,0.002
459.000,0.002
460.000,0.002
461.000,0.002
462.000,0.002
463.000,0.002
464.000,0.002
465.000,0.002
466.000,0.002
467.000,0.002
468.000,0.002
469.000,0.002
470.000,0.002
471.000,0.002
472.000,0.002
473.000,0.002
474.000,0.002
475.000,0.002
476.000,0.002
477.000,0.002
478.000,0.002
479.000,0.002
480.000,0.002
481.000,0.002
482.000,0.002
483.000,0.002
484.000,0.002
485.000,0.002
486.000,0.002
487.000,0.002
488.000,0.002
489.000,0.002
490.000,0.001
491.000,0.001
492.000,0.001
493.000,0.001
494.000,0.001
495.000,0.001
496.000,0.001
497.000,0.001
498.000,0.001
499.000,0.001
500.000,0.001
501.000,0.001
502.000,0.001
503.000,0.001
504.000,0.001
505.000,0.001
506.000,0.001
507.000,0.001
508.000,0.001
509.000,0.001
510.000,0.001
511.000,0.001
512.000,0.001
513.000,0.001
514.000,0.001
515.000,0.001
516.000,0.001
517.000,0.001
518.000,0.001
519.000,0.001
520.000,0.001
521.000,0.001
522.000,0.001
523.000,0.001
524.000,0.001
525.000,0.001
526.000,0.001
527.000,0.001
528.000,0.001
529.000,0.001
530.000,0.001
531.000,0.001
532.000,0.001
533.000,0.001
534.000,0.001
535.000,0.001
536.000,0.001
537.000,0.001
538.000,0.001
539.000,0.001
540.000,0.001
541.000,0.001
542.000,0.001
543.000,0.001
544.000,0.001
545.000,0.001
546.000,0.001
547.000,0.001
548.000,0.001
549.000,0.001
550.000,0.001
551.000,0.001
552.000,0.001
553.000,0.001
554.000,0.001
555.000,0.001
556.000,0.001
557.000,0.001
558.000,0.001
559.000,0.001
560.000,0.001
561.000,0.001
562.000,0.001
563.000,0.001
564.000,0.001
565.000,0.001
566.000,0.001
567.000,0.001
568.000,0.001
569.000,0.001
570.000,0.001
571.000,0.001
572.000,0.001
573.000,0.001
574.000,0.001
575.000,0.001
576.000,0.001
577.000,0.001
578.000,0.001
579.000,0.001
580.000,0.001
581.000,0.001
582.000,0.001
583.000,0.000
584.000,0.000
585.000,0.000
586.000,0.000
587.000,0.000
588.000,0.000
589.000,0.000
590.000,0.000
591.000,0.000
592.000,0.000
593.000,0.000
594.000,0.000
595.000,0.000
596.000,0.000
597.000,0.000
598.000,0.000
599.000,0.000
600.000,0.000
601.000,0.000
602.000,0.000
603.000,0.000
604.000,0.000
605.000,0.000
606.000,0.000
607.000,0.000
608.000,0.000
609.000,0.000
610.000,0.000
611.000,0.000
612.000,0.000
613.000,0.000
614.000,0.000
615.000,0.000
616.000,0.000
617.000,0.000
618.000,0.000
619.000,0.000
620.000,0.000
621.000,0.000
622.000,0.000
623.000,0.000
624.000,0.000
625.000,0.000
626.000,0.000
627.000,0.000
628.000,0.000
629.000,0.000
630.000,0.000
631.000,0.000
632.000,0.000
633.000,0.000
634.000,0.000
635.000,0.000
636.000,0.000
637.000,0.000
638.000,0.000
639.000,0.000
640.000,0.000
641.000,0.000
642.000,0.000
643.000,0.000
644.000,0.000
645.000,0.000
646.000,0.000
647.000,0.000
648.000,0.000
649.000,0.000
650.000,0.000
651.000,0.000
652.000,0.000
653.000,0.000
654.000,0.000
655.000,0.000
656.000,0.000
657.000,0.000
658.000,0.000
659.000,0.000
660.000,0.000
661.000,0.000
662.000,0.000
663.000,0.000
664.000,0.000
665.000,0.000
666.000,0.000
667.000,0.000
668.000,0.000
669.000,0.000
670.000,0.000
671.000,0.000
672.000,0.000
673.000,0.000
674.000,0.000
675.000,0.000
676.000,0.000
677.000,0.000
678.000,0.000
679.000,0.000
680.000,0.000
681.000,0.000
682.000,0.000
683.000,0.000
684.000,0.000
685.000,0.000
686.000,0.000
687.000,0.000
688.000,0.000
689.000,0.000
690.000,0.000
691.000,0.000
692.000,0.000
693.000,0.000
694.000,0.000
695.000,0.000
696.000,0.000
697.000,-0.000
698.000,-0.000
699.000,-0.000
700.000,-0.000
701.000,-0.000
702.000,-0.000
703.000,-0.000
704.000,-0.000
705.000,-0.000
706.000,-0.000
707.000,-0.000
708.000,-0.000
709.000,-0.000
710.000,-0.000
711.000,-0.000
712.000,-0.000
713.000,-0.000
714.000,-0.000
715.000,-0.000
716.000,-0.000
717.000,-0.000
718.000,-0.000
719.000,-0.000
720.000,-0.000
721.000,-0.000
722.000,-0.000
723.000,-0.000
